Census Year,SGC,Region,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Interprovincial In,Interprovincial Out,Net Interprovincial,Intraprovincial In,Intraprovincial Out,Net Intraprovincial,Net Total Migration
2010-2011,5909,Fraser Valley,1341,477,162,228,-152,646,2155,2409,-254,8987,7696,1291,1683
2010-2011,5915,Greater Vancouver,32857,8783,3872,4311,1619,25254,19631,18532,1099,18495,20559,-2064,24289
2010-2011,5917,Capital,1363,798,449,406,-651,-43,5889,4251,1638,8054,7449,605,2200
2010-2011,5919,Cowichan Valley,112,103,39,50,16,14,773,711,62,3036,2812,224,300
2010-2011,5921,Nanaimo,550,175,152,86,-56,385,2046,1551,495,5206,4521,685,1565
2010-2011,5923,Alberni-Clayoquot,60,43,3,20,5,5,246,240,6,1008,1089,-81,-70
2010-2011,5924,Strathcona,61,66,21,33,1,-16,698,619,79,1353,1227,126,189
2010-2011,5926,Comox Valley,110,95,30,47,39,37,984,876,108,1911,1732,179,324
2010-2011,5927,Powell River,38,18,6,9,-10,7,143,126,17,629,718,-89,-65
2010-2011,5929,Sunshine Coast,108,19,32,8,-5,108,258,222,36,1105,1024,81,225
2010-2011,5931,Squamish-Lillooet,350,79,60,39,-217,75,748,499,249,1592,1592,0,324
2010-2011,5933,Thompson-Nicola,255,163,62,79,94,169,1478,1581,-103,4054,4151,-97,-31
2010-2011,5935,Central Okanagan,500,231,164,113,-135,185,3530,2658,872,5475,4389,1086,2143
2010-2011,5937,North Okanagan,106,88,49,43,-14,10,1078,1104,-26,2495,2697,-202,-218
2010-2011,5939,Columbia-Shuswap,103,60,14,30,-32,-5,856,788,68,1659,1787,-128,-65
2010-2011,5941,Cariboo,92,36,13,17,4,56,397,675,-278,1910,2293,-383,-605
2010-2011,5943,Mount Waddington,16,12,2,6,-10,-10,91,73,18,444,556,-112,-104
2010-2011,5945,Central Coast,1,0,0,0,-2,-1,28,12,16,163,159,4,19
2010-2011,5947,Skeena-Queen Charlotte,33,13,8,7,-9,12,125,146,-21,572,826,-254,-263
2010-2011,5949,Kitimat-Stikine,32,44,12,20,25,5,281,513,-232,1089,1428,-339,-566
2010-2011,5951,Bulkley-Nechako,42,40,23,19,8,14,274,380,-106,1005,1552,-547,-639
2010-2011,5953,Fraser-Fort George,177,49,13,23,59,177,930,1300,-370,2781,2988,-207,-400
2010-2011,5955,Peace River,150,68,22,34,11,81,1211,1407,-196,1884,1554,330,215
2010-2011,5957,Stikine,2,1,0,1,6,6,20,25,-5,33,35,-2,-1
2010-2011,5959,Northern Rockies,10,3,2,1,-1,7,191,269,-78,258,267,-9,-80
2011-2012,5900,British Columbia,36250,13258,5576,5237,12420,35751,48593,51304,-2711,88634,88634,0,33040
2011-2012,5901,East Kootenay,154,73,34,29,37,123,1267,1415,-148,1341,1106,235,210
2011-2012,5903,Central Kootenay,118,97,38,39,8,28,902,1011,-109,1601,1946,-345,-426
2011-2012,5905,Kootenay Boundary,65,46,15,19,-23,-8,384,317,67,1062,1008,54,113
2011-2012,5907,Okanagan-Similkameen,164,146,45,58,-2,3,1190,1109,81,2768,3537,-769,-685
2011-2012,5909,Fraser Valley,1547,481,157,176,294,1341,2290,3017,-727,9685,8142,1543,2157
2011-2012,5915,Greater Vancouver,29630,9542,4251,3762,9255,29832,19402,21877,-2475,19563,22711,-3148,24209
2011-2012,5917,Capital,1528,1096,334,450,2277,2593,6032,4728,1304,8952,7500,1452,5349
2011-2012,5919,Cowichan Valley,150,104,57,41,-69,-7,711,887,-176,3075,3019,56,-127
2011-2012,5921,Nanaimo,309,238,95,94,61,133,2032,1778,254,5535,4702,833,1220
2011-2012,5923,Alberni-Clayoquot,44,40,7,16,3,-2,215,296,-81,925,1192,-267,-350
2011-2012,5924,Strathcona,82,73,23,29,-4,-1,510,517,-7,1743,1825,-82,-90
2011-2012,5926,Comox Valley,127,83,44,33,5,60,1244,1065,179,2217,2167,50,289
2011-2012,5927,Powell River,29,4,5,2,-3,25,119,178,-59,712,742,-30,-64
2011-2012,5929,Sunshine Coast,82,54,25,22,-12,19,246,291,-45,1214,1237,-23,-49
2011-2012,5931,Squamish-Lillooet,428,133,40,52,-310,-27,819,449,370,2015,1393,622,965
2011-2012,5933,Thompson-Nicola,259,178,66,71,160,236,1369,1715,-346,4451,4404,47,-63
2011-2012,5935,Central Okanagan,598,415,171,164,-140,50,3826,3374,452,6057,4561,1496,1998
2011-2012,5937,North Okanagan,127,111,49,45,1,21,1215,1205,10,2800,2573,227,258
2011-2012,5939,Columbia-Shuswap,89,42,20,17,51,101,882,1015,-133,1781,2114,-333,-365
2011-2012,5941,Cariboo,99,51,10,20,23,61,486,698,-212,2064,2573,-509,-660
2011-2012,5943,Mount Waddington,22,24,2,9,240,231,59,96,-37,466,709,-243,-49
2011-2012,5945,Central Coast,5,0,0,0,4,9,27,28,-1,114,174,-60,-52
2011-2012,5947,Skeena-Queen Charlotte,34,4,3,2,-3,28,144,165,-21,647,844,-197,-190
2011-2012,5949,Kitimat-Stikine,56,27,5,10,63,87,373,428,-55,1168,1418,-250,-218
2011-2012,5951,Bulkley-Nechako,41,54,16,21,5,-13,356,367,-11,1202,1574,-372,-396
2011-2012,5953,Fraser-Fort George,183,79,22,31,111,206,898,1232,-334,2944,3240,-296,-424
2011-2012,5955,Peace River,258,63,40,25,106,316,1390,1715,-325,2258,1882,376,367
2011-2012,5957,Stikine,4,0,0,0,-3,1,32,50,-18,41,60,-19,-36
2011-2012,5959,Northern Rockies,18,0,2,0,285,305,173,281,-108,233,281,-48,149
2012-2013,5900,British Columbia,35738,12873,5486,5236,10734,33849,43830,45698,-1868,77383,77383,0,31981
2012-2013,5901,East Kootenay,147,62,32,25,151,243,1212,1276,-64,1127,1064,63,242
2012-2013,5903,Central Kootenay,121,150,38,60,43,-8,909,894,15,1381,1443,-62,-55
2012-2013,5905,Kootenay Boundary,50,74,8,30,30,-16,343,340,3,815,961,-146,-159
2012-2013,5907,Okanagan-Similkameen,148,114,37,46,88,113,1137,995,142,2326,2384,-58,197
2012-2013,5909,Fraser Valley,1440,443,147,172,466,1438,2174,2786,-612,8256,7321,935,1761
2012-2013,5915,Greater Vancouver,29822,9560,4087,3884,5490,25955,16801,19314,-2513,16497,19952,-3455,19987
2012-2013,5917,Capital,1271,882,429,373,2388,2833,5176,4221,955,7896,6507,1389,5177
2012-2013,5919,Cowichan Valley,125,114,52,47,113,129,822,777,45,2850,2819,31,205
2012-2013,5921,Nanaimo,269,244,118,99,324,368,1944,1566,378,4871,4104,767,1513
2012-2013,5923,Alberni-Clayoquot,54,34,12,14,9,27,206,272,-66,843,1055,-212,-251
2012-2013,5924,Strathcona,79,37,7,15,21,55,483,518,-35,1520,1512,8,28
2012-2013,5926,Comox Valley,99,107,48,44,53,49,1103,1099,4,1944,1948,-4,49
2012-2013,5927,Powell River,19,34,10,14,23,4,167,155,12,586,582,4,20
2012-2013,5929,Sunshine Coast,94,82,16,33,31,26,214,174,40,1030,1137,-107,-41
2012-2013,5931,Squamish-Lillooet,352,144,38,59,157,344,676,424,252,1642,1537,105,701
2012-2013,5933,Thompson-Nicola,250,140,53,57,466,572,1268,1566,-298,4020,3518,502,776
2012-2013,5935,Central Okanagan,533,268,165,108,246,568,3432,2961,471,5524,4060,1464,2503
2012-2013,5937,North Okanagan,98,111,44,45,33,19,1142,1138,4,2530,2527,3,26
2012-2013,5939,Columbia-Shuswap,78,36,20,15,55,102,916,842,74,1693,1746,-53,123
2012-2013,5941,Cariboo,95,46,24,19,36,90,431,543,-112,1826,2202,-376,-398
2012-2013,5943,Mount Waddington,20,0,7,0,-62,-35,68,62,6,463,577,-114,-143
2012-2013,5945,Central Coast,2,0,1,0,1,4,27,19,8,130,137,-7,5
2012-2013,5947,Skeena-Queen Charlotte,20,10,5,4,32,43,160,168,-8,555,721,-166,-131
2012-2013,5949,Kitimat-Stikine,56,28,14,11,107,138,377,318,59,1033,1167,-134,63
2012-2013,5951,Bulkley-Nechako,57,37,32,15,64,101,342,342,0,1110,1509,-399,-298
2012-2013,5953,Fraser-Fort George,190,40,24,16,294,452,912,1066,-154,2723,2864,-141,157
2012-2013,5955,Peace River,214,76,14,31,184,305,1234,1588,-354,1961,1689,272,223
2012-2013,5957,Stikine,6,0,0,0,-1,5,26,24,2,34,69,-35,-28
2012-2013,5959,Northern Rockies,29,0,4,0,-108,-75,128,250,-122,197,271,-74,-271
2013-2014,5900,British Columbia,37520,12978,5884,5237,11603,36792,52281,42806,9475,79844,79844,0,46267
2013-2014,5901,East Kootenay,270,99,39,39,-16,155,1411,1078,333,1096,1080,16,504
2013-2014,5903,Central Kootenay,101,83,38,33,23,46,1024,863,161,1444,1524,-80,127
2013-2014,5905,Kootenay Boundary,38,26,25,11,31,57,329,343,-14,893,936,-43,0
2013-2014,5907,Okanagan-Similkameen,186,93,44,37,65,165,1517,938,579,2605,2324,281,1025
2013-2014,5909,Fraser Valley,1524,365,174,143,-40,1150,2603,2593,10,8830,7699,1131,2291
2013-2014,5915,Greater Vancouver,30466,9775,4347,3954,9993,31077,19760,18268,1492,16826,21214,-4388,28181
2013-2014,5917,Capital,1348,933,445,372,55,543,6184,3915,2269,7958,6715,1243,4055
2013-2014,5919,Cowichan Valley,133,80,47,32,85,153,1052,724,328,3064,2706,358,839
2013-2014,5921,Nanaimo,341,214,148,87,263,451,2582,1438,1144,4940,4219,721,2316
2013-2014,5923,Alberni-Clayoquot,45,28,7,11,-12,1,321,248,73,975,1041,-66,8
2013-2014,5924,Strathcona,94,45,37,18,-3,65,640,442,198,1503,1566,-63,200
2013-2014,5926,Comox Valley,126,100,42,41,63,90,1220,939,281,2114,1858,256,627
2013-2014,5927,Powell River,27,29,19,12,6,11,205,135,70,546,596,-50,31
2013-2014,5929,Sunshine Coast,97,57,30,23,-15,32,304,181,123,1075,918,157,312
2013-2014,5931,Squamish-Lillooet,494,121,49,49,206,579,680,429,251,1749,1490,259,1089
2013-2014,5933,Thompson-Nicola,285,133,66,54,58,222,1518,1472,46,4124,3769,355,623
2013-2014,5935,Central Okanagan,651,340,146,137,246,566,4435,2823,1612,5706,4249,1457,3635
2013-2014,5937,North Okanagan,121,129,48,52,20,8,1492,1016,476,2727,2424,303,787
2013-2014,5939,Columbia-Shuswap,151,65,22,26,-6,76,1034,844,190,1746,1926,-180,86
2013-2014,5941,Cariboo,108,52,19,21,35,89,551,527,24,1882,2178,-296,-183
2013-2014,5943,Mount Waddington,23,6,3,3,59,76,114,73,41,441,588,-147,-30
2013-2014,5945,Central Coast,1,0,1,0,1,3,18,19,-1,117,204,-87,-85
2013-2014,5947,Skeena-Queen Charlotte,50,11,6,4,27,68,132,161,-29,536,700,-164,-125
2013-2014,5949,Kitimat-Stikine,84,28,16,11,222,283,448,279,169,1248,1316,-68,384
2013-2014,5951,Bulkley-Nechako,87,49,10,20,14,42,389,282,107,1089,1518,-429,-280
2013-2014,5953,Fraser-Fort George,266,79,20,32,135,310,930,1008,-78,2593,2927,-334,-102
2013-2014,5955,Peace River,321,38,34,15,174,476,1239,1474,-235,1832,1857,-25,216
2013-2014,5957,Stikine,2,0,0,0,0,2,16,32,-16,28,44,-16,-30
2013-2014,5959,Northern Rockies,80,0,2,0,-86,-4,133,262,-129,157,258,-101,-234
2014-2015,5900,British Columbia,31672,12771,6462,5234,-923,19206,61026,40647,20379,84998,84998,0,39585
2014-2015,5901,East Kootenay,235,55,54,23,-80,131,1482,1142,340,1100,1144,-44,427
2014-2015,5903,Central Kootenay,54,65,55,27,103,120,1233,717,516,1488,1617,-129,507
2014-2015,5905,Kootenay Boundary,44,29,16,12,-56,-37,435,258,177,988,1004,-16,124
2014-2015,5907,Okanagan-Similkameen,157,136,51,55,46,63,1866,1025,841,2759,2568,191,1095
2014-2015,5909,Fraser Valley,1228,374,224,148,-14,916,3136,2288,848,10161,7543,2618,4382
2014-2015,5915,Greater Vancouver,25159,9752,4911,3991,562,16889,23757,17475,6282,17530,23119,-5589,17582
2014-2015,5917,Capital,1559,768,407,324,-1016,-142,6908,3710,3198,8581,7026,1555,4611
2014-2015,5919,Cowichan Valley,161,83,46,34,-46,44,1145,604,541,3146,2915,231,816
2014-2015,5921,Nanaimo,363,174,105,72,71,293,2875,1312,1563,5356,4524,832,2688
2014-2015,5923,Alberni-Clayoquot,50,22,6,9,11,36,391,180,211,958,1119,-161,86
2014-2015,5924,Strathcona,65,44,27,19,-15,14,677,352,325,1683,1568,115,454
2014-2015,5926,Comox Valley,121,102,53,42,-11,19,1493,748,745,2303,1950,353,1117
2014-2015,5927,Powell River,25,27,7,11,2,-4,170,132,38,588,691,-103,-69
2014-2015,5929,Sunshine Coast,53,42,22,17,36,52,326,153,173,1183,1071,112,337
2014-2015,5931,Squamish-Lillooet,364,154,62,63,-201,8,823,405,418,1837,1683,154,580
2014-2015,5933,Thompson-Nicola,239,202,62,82,-76,-59,1704,1334,370,4345,3857,488,799
2014-2015,5935,Central Okanagan,531,311,160,128,318,570,5312,2717,2595,6033,4632,1401,4566
2014-2015,5937,North Okanagan,139,111,52,45,-73,-38,1750,1052,698,2838,2755,83,743
2014-2015,5939,Columbia-Shuswap,107,63,24,26,34,76,1303,731,572,1953,1808,145,793
2014-2015,5941,Cariboo,100,51,29,21,5,62,566,509,57,1987,2339,-352,-233
2014-2015,5943,Mount Waddington,28,5,1,2,-89,-67,136,62,74,420,648,-228,-221
2014-2015,5945,Central Coast,2,10,0,4,2,-10,19,20,-1,118,172,-54,-65
2014-2015,5947,Skeena-Queen Charlotte,27,2,5,1,-38,-9,176,140,36,601,721,-120,-93
2014-2015,5949,Kitimat-Stikine,67,54,23,22,-97,-83,441,370,71,1077,1400,-323,-335
2014-2015,5951,Bulkley-Nechako,62,21,18,9,-10,40,343,319,24,1061,1625,-564,-500
2014-2015,5953,Fraser-Fort George,301,50,27,20,-139,119,1060,946,114,2838,2931,-93,140
2014-2015,5955,Peace River,383,55,10,23,-100,215,1375,1652,-277,1928,2224,-296,-358
2014-2015,5957,Stikine,2,5,1,2,-2,-6,10,21,-11,21,39,-18,-35
2014-2015,5959,Northern Rockies,46,4,4,2,-50,-6,114,273,-159,117,305,-188,-353
2015-2016,5900,British Columbia,43242,13172,6747,5234,-1664,29919,63788,37215,26573,91080,91080,0,56492
2015-2016,5901,East Kootenay,264,83,46,33,17,211,1489,1100,389,980,1227,-247,353
2015-2016,5903,Central Kootenay,123,104,43,42,251,271,1266,630,636,1531,1755,-224,683
2015-2016,5905,Kootenay Boundary,48,37,27,14,14,38,526,277,249,1159,964,195,482
2015-2016,5907,Okanagan-Similkameen,225,128,37,51,109,192,1811,880,931,3139,2490,649,1772
2015-2016,5909,Fraser Valley,1569,480,184,182,606,1697,3398,2065,1333,12550,8365,4185,7215
2015-2016,5915,Greater Vancouver,34750,9574,4942,3788,-5230,21100,25282,16187,9095,18024,27952,-9928,20267
2015-2016,5917,Capital,1816,884,529,374,-18,1069,7625,3707,3918,9283,7173,2110,7097
2015-2016,5919,Cowichan Valley,223,86,62,34,123,288,1203,548,655,3587,3099,488,1431
2015-2016,5921,Nanaimo,440,261,121,104,108,304,2998,1241,1757,5810,4620,1190,3251
2015-2016,5923,Alberni-Clayoquot,76,27,17,10,14,70,365,178,187,1191,1059,132,389
2015-2016,5924,Strathcona,111,79,24,32,39,63,729,303,426,1805,1471,334,823
2015-2016,5926,Comox Valley,117,106,61,43,244,273,1348,781,567,2381,2015,366,1206
2015-2016,5927,Powell River,45,20,11,8,63,91,244,97,147,733,650,83,321
2015-2016,5929,Sunshine Coast,119,63,27,25,3,61,389,156,233,1388,1221,167,461
2015-2016,5931,Squamish-Lillooet,542,143,62,57,866,1270,797,377,420,1940,1666,274,1964
2015-2016,5933,Thompson-Nicola,414,210,70,83,180,371,1856,1105,751,4615,3860,755,1877
2015-2016,5935,Central Okanagan,722,381,252,152,838,1279,5225,2455,2770,6228,4990,1238,5287
2015-2016,5937,North Okanagan,178,135,58,54,-5,42,1756,822,934,2960,2573,387,1363
2015-2016,5939,Columbia-Shuswap,129,63,26,25,89,156,1346,613,733,1966,1877,89,978
2015-2016,5941,Cariboo,155,69,29,27,-19,69,588,378,210,2080,2245,-165,114
2015-2016,5943,Mount Waddington,24,11,10,5,-98,-80,130,66,64,441,540,-99,-115
2015-2016,5945,Central Coast,7,0,3,0,-1,9,27,4,23,122,109,13,45
2015-2016,5947,Skeena-Queen Charlotte,35,20,9,8,33,49,204,110,94,597,729,-132,11
2015-2016,5949,Kitimat-Stikine,109,53,16,21,-146,-95,471,348,123,1068,1428,-360,-332
2015-2016,5951,Bulkley-Nechako,100,41,9,17,44,95,347,261,86,1126,1431,-305,-124
2015-2016,5953,Fraser-Fort George,352,71,43,28,148,444,1124,854,270,2821,2895,-74,640
2015-2016,5955,Peace River,475,43,23,17,79,517,1142,1438,-296,1412,2388,-976,-755
2015-2016,5957,Stikine,1,0,0,0,0,1,9,28,-19,23,32,-9,-27
2015-2016,5959,Northern Rockies,73,0,6,0,-15,64,93,206,-113,120,256,-136,-185
2016-2017,5900,British Columbia,35397,11892,6400,5296,20059,44668,57210,38376,18834,91309,91309,0,63502
2016-2017,5901,East Kootenay,207,81,41,36,170,301,1323,1109,214,1035,1069,-34,481
2016-2017,5903,Central Kootenay,114,123,46,54,317,300,1171,691,480,1681,1699,-18,762
2016-2017,5905,Kootenay Boundary,51,63,27,28,31,18,474,234,240,1189,982,207,465
2016-2017,5907,Okanagan-Similkameen,164,103,65,47,116,195,1710,945,765,3348,2478,870,1830
2016-2017,5909,Fraser Valley,1442,341,198,152,1349,2496,2892,2308,584,12010,8681,3329,6409
2016-2017,5915,Greater Vancouver,28023,8595,4647,3816,13544,33803,22827,17110,5717,16739,29838,-13099,26421
2016-2017,5917,Capital,1737,951,458,443,864,1665,6780,3834,2946,9385,7162,2223,6834
2016-2017,5919,Cowichan Valley,166,89,69,40,166,272,1114,601,513,3716,2859,857,1642
2016-2017,5921,Nanaimo,351,209,110,93,546,705,2563,1259,1304,6162,4394,1768,3777
2016-2017,5923,Alberni-Clayoquot,57,23,15,11,37,75,309,211,98,1255,1083,172,345
2016-2017,5924,Strathcona,83,53,27,23,-22,12,675,292,383,1947,1490,457,852
2016-2017,5926,Comox Valley,103,87,62,38,213,253,1264,734,530,2765,2027,738,1521
2016-2017,5927,Powell River,23,55,12,25,44,-1,168,78,90,715,554,161,250
2016-2017,5929,Sunshine Coast,79,15,37,6,36,131,266,143,123,1446,1233,213,467
2016-2017,5931,Squamish-Lillooet,469,157,76,70,253,571,782,414,368,1793,1917,-124,815
2016-2017,5933,Thompson-Nicola,333,158,63,71,906,1073,1705,1165,540,4619,3629,990,2603
2016-2017,5935,Central Okanagan,539,352,212,147,739,991,4725,2556,2169,6587,4861,1726,4886
2016-2017,5937,North Okanagan,179,128,76,57,58,128,1527,762,765,3384,2819,565,1458
2016-2017,5939,Columbia-Shuswap,163,44,29,20,79,207,1203,607,596,2136,1812,324,1127
2016-2017,5941,Cariboo,128,38,25,17,27,125,523,375,148,2240,2037,203,476
2016-2017,5943,Mount Waddington,19,14,8,7,-17,-11,85,49,36,459,420,39,64
2016-2017,5945,Central Coast,7,3,1,1,0,4,20,15,5,127,107,20,29
2016-2017,5947,Skeena-Queen Charlotte,58,0,3,0,19,80,172,119,53,532,633,-101,32
2016-2017,5949,Kitimat-Stikine,113,30,14,13,-63,21,386,312,74,978,1241,-263,-168
2016-2017,5951,Bulkley-Nechako,82,39,29,17,-28,27,368,296,72,1069,1381,-312,-213
2016-2017,5953,Fraser-Fort George,264,57,36,26,473,690,1087,806,281,2586,2528,58,1029
2016-2017,5955,Peace River,401,63,9,28,234,553,997,1168,-171,1303,2036,-733,-351
2016-2017,5957,Stikine,2,0,0,0,1,3,14,26,-12,17,40,-23,-32
2016-2017,5959,Northern Rockies,40,21,5,10,-33,-19,80,157,-77,86,299,-213,-309
2017-2018,5900,British Columbia,41916,10994,6062,5358,29297,60923,55300,41311,13989,93658,93658,0,74912
2017-2018,5901,East Kootenay,207,88,43,43,207,326,1519,1065,454,1153,1086,67,847
2017-2018,5903,Central Kootenay,159,95,55,47,289,361,1132,693,439,1841,1792,49,849
2017-2018,5905,Kootenay Boundary,73,43,20,21,86,115,405,273,132,1374,1011,363,610
2017-2018,5907,Okanagan-Similkameen,230,103,39,50,764,880,1462,1021,441,3540,2720,820,2141
2017-2018,5909,Fraser Valley,1513,367,164,175,3462,4597,2590,2852,-262,11858,8694,3164,7499
2017-2018,5915,Greater Vancouver,33295,7995,4360,3906,18904,44658,22027,18258,3769,16044,30484,-14440,33987
2017-2018,5917,Capital,1917,755,514,360,532,1848,6586,3775,2811,9402,7159,2243,6902
2017-2018,5919,Cowichan Valley,135,114,67,56,63,95,973,612,361,3898,3057,841,1297
2017-2018,5921,Nanaimo,483,199,126,97,323,636,2449,1454,995,6464,4535,1929,3560
2017-2018,5923,Alberni-Clayoquot,59,26,9,13,38,67,295,178,117,1361,1085,276,460
2017-2018,5924,Strathcona,71,76,38,37,62,58,674,359,315,2204,1563,641,1014
2017-2018,5926,Comox Valley,159,48,62,24,231,380,1212,694,518,2775,2155,620,1518
2017-2018,5927,Powell River,62,18,13,9,15,63,164,100,64,724,589,135,262
2017-2018,5929,Sunshine Coast,88,59,44,29,-14,30,288,200,88,1461,1156,305,423
2017-2018,5931,Squamish-Lillooet,646,187,69,91,-97,340,760,464,296,1702,2132,-430,206
2017-2018,5933,Thompson-Nicola,409,124,49,60,1882,2156,1595,1346,249,5046,3809,1237,3642
2017-2018,5935,Central Okanagan,726,347,198,169,1534,1942,4639,2694,1945,6730,5194,1536,5423
2017-2018,5937,North Okanagan,179,109,70,53,111,198,1457,942,515,3616,2940,676,1389
2017-2018,5939,Columbia-Shuswap,169,28,28,13,35,191,1181,725,456,2257,1901,356,1003
2017-2018,5941,Cariboo,130,30,14,15,7,106,554,435,119,2462,2202,260,485
2017-2018,5943,Mount Waddington,19,6,4,3,-23,-9,112,62,50,508,465,43,84
2017-2018,5945,Central Coast,2,0,5,0,0,7,24,24,0,159,113,46,53
2017-2018,5947,Skeena-Queen Charlotte,41,12,1,6,-35,-11,185,118,67,568,586,-18,38
2017-2018,5949,Kitimat-Stikine,142,15,8,7,136,264,348,287,61,912,1198,-286,39
2017-2018,5951,Bulkley-Nechako,77,15,13,8,22,89,329,295,34,1084,1329,-245,-122
2017-2018,5953,Fraser-Fort George,387,66,23,32,655,967,1016,855,161,2863,2493,370,1498
2017-2018,5955,Peace River,494,69,26,34,106,523,1217,1329,-112,1507,1897,-390,21
2017-2018,5957,Stikine,0,0,0,0,6,6,33,20,13,39,50,-11,8
2017-2018,5959,Northern Rockies,44,0,0,0,-4,40,74,181,-107,106,263,-157,-224
2018-2019,5900,British Columbia,43135,9452,6061,5437,31809,66116,53434,40109,13325,86187,86187,0,79441
2018-2019,5901,East Kootenay,229,70,53,40,189,361,1590,955,635,1107,1016,91,1087
2018-2019,5903,Central Kootenay,199,90,31,52,165,253,1092,703,389,1722,1628,94,736
2018-2019,5905,Kootenay Boundary,73,43,15,25,50,70,419,270,149,1184,1014,170,389
2018-2019,5907,Okanagan-Similkameen,251,86,55,49,325,496,1269,924,345,3231,2457,774,1615
2018-2019,5909,Fraser Valley,1539,291,159,159,2786,4034,2399,2407,-8,10301,8502,1799,5825
2018-2019,5915,Greater Vancouver,34562,6842,4432,3924,23306,51534,21755,18395,3360,15240,27091,-11851,43043
2018-2019,5917,Capital,2079,720,540,435,1085,2549,6667,3550,3117,8673,6731,1942,7608
2018-2019,5919,Cowichan Valley,144,84,59,48,47,118,918,580,338,3426,2930,496,952
2018-2019,5921,Nanaimo,491,169,120,97,522,867,2360,1319,1041,5806,4403,1403,3311
2018-2019,5923,Alberni-Clayoquot,71,21,12,12,59,109,285,161,124,1300,908,392,625
2018-2019,5924,Strathcona,76,53,32,31,84,108,544,341,203,1925,1498,427,738
2018-2019,5926,Comox Valley,151,55,50,32,89,203,1160,751,409,2677,1909,768,1380
2018-2019,5927,Powell River,48,29,8,17,-11,-1,187,83,104,696,582,114,217
2018-2019,5929,Sunshine Coast,99,31,18,18,38,106,248,201,47,1274,1099,175,328
2018-2019,5931,Squamish-Lillooet,590,143,55,83,-63,356,655,409,246,1578,1884,-306,296
2018-2019,5933,Thompson-Nicola,406,116,45,67,545,813,1427,1284,143,4720,3630,1090,2046
2018-2019,5935,Central Okanagan,835,286,187,160,1159,1735,4449,2579,1870,6344,4795,1549,5154
2018-2019,5937,North Okanagan,155,98,45,57,140,185,1270,927,343,3284,2387,897,1425
2018-2019,5939,Columbia-Shuswap,165,30,29,17,140,287,1060,731,329,2169,1765,404,1020
2018-2019,5941,Cariboo,84,27,12,16,61,114,459,490,-31,2324,2023,301,384
2018-2019,5943,Mount Waddington,10,8,7,5,-10,-6,109,60,49,475,418,57,100
2018-2019,5945,Central Coast,3,1,0,1,-1,0,29,19,10,105,101,4,14
2018-2019,5947,Skeena-Queen Charlotte,37,5,2,3,11,42,165,102,63,561,665,-104,1
2018-2019,5949,Kitimat-Stikine,75,18,16,10,222,285,443,304,139,942,1057,-115,309
2018-2019,5951,Bulkley-Nechako,105,22,14,13,15,99,416,323,93,1091,1297,-206,-14
2018-2019,5953,Fraser-Fort George,333,51,18,30,692,962,907,816,91,2526,2493,33,1086
2018-2019,5955,Peace River,305,55,47,32,160,425,1055,1283,-228,1371,1678,-307,-110
2018-2019,5957,Stikine,0,0,0,0,-3,-3,20,23,-3,41,56,-15,-21
2018-2019,5959,Northern Rockies,20,8,0,4,7,15,77,119,-42,94,170,-76,-103
2019-2020,5900,British Columbia,44805,6918,5778,4930,1022,39757,60584,43585,16999,91253,91253,0,56756
2019-2020,5901,East Kootenay,198,58,31,42,-146,-17,1602,1034,568,1169,1144,25,576
2019-2020,5903,Central Kootenay,152,36,46,25,27,164,1155,680,475,1784,1680,104,743
2019-2020,5905,Kootenay Boundary,69,69,13,49,-18,-54,396,292,104,1231,1029,202,252
2019-2020,5907,Okanagan-Similkameen,185,62,58,44,51,188,1420,940,480,3311,2598,713,1381
2019-2020,5909,Fraser Valley,1405,242,110,166,-184,923,2936,2661,275,11237,9141,2096,3294
2019-2020,5915,Greater Vancouver,36449,4932,4171,3512,1106,33282,25923,20915,5008,17427,28575,-11148,27142
2019-2020,5917,Capital,2017,564,523,412,-261,1303,7565,3795,3770,9302,7503,1799,6872
2019-2020,5919,Cowichan Valley,119,48,51,34,-159,-71,998,692,306,3606,2889,717,952
2019-2020,5921,Nanaimo,456,130,101,93,-371,-37,2403,1274,1129,6248,4754,1494,2586
2019-2020,5923,Alberni-Clayoquot,54,10,13,7,47,97,332,203,129,1284,1038,246,472
2019-2020,5924,Strathcona,77,42,15,30,39,59,543,285,258,1965,1580,385,702
2019-2020,5926,Comox Valley,136,31,73,22,-134,22,1295,832,463,2659,1938,721,1206
2019-2020,5927,Powell River,35,4,9,2,-21,17,187,108,79,724,523,201,297
2019-2020,5929,Sunshine Coast,79,49,24,35,-66,-47,236,196,40,1332,1026,306,299
2019-2020,5931,Squamish-Lillooet,698,108,72,76,-152,434,800,458,342,1782,1985,-203,573
2019-2020,5933,Thompson-Nicola,383,86,76,61,-14,298,1639,1249,390,4585,3859,726,1414
2019-2020,5935,Central Okanagan,865,170,199,120,554,1328,4873,2688,2185,6633,4929,1704,5217
2019-2020,5937,North Okanagan,155,34,60,24,237,394,1349,860,489,3317,2644,673,1556
2019-2020,5939,Columbia-Shuswap,236,18,22,13,-17,210,1077,803,274,2195,1915,280,764
2019-2020,5941,Cariboo,132,35,15,26,15,101,493,529,-36,2183,2138,45,110
2019-2020,5943,Mount Waddington,17,3,4,2,-5,11,96,60,36,409,495,-86,-39
