Census Year,SGC,Region,Immigrants,Emigrants,Returning Emigrants,Net Temporary Emigrants,Net Non-permanent Residents,Net International,Interprovincial In,Interprovincial Out,Net Interprovincial,Intraprovincial In,Intraprovincial Out,Net Intraprovincial,Net Total Migration
2003-2004,5903,Central Kootenay,87,114,47,40,12,-8,1122,945,177,1734,2013,-279,-110
2003-2004,5905,Kootenay Boundary,29,68,18,25,5,-41,385,444,-59,1090,1227,-137,-237
2003-2004,5907,Okanagan-Similkameen,187,101,50,34,12,114,1494,995,499,3366,2732,634,1247
2003-2004,5909,Fraser Valley,1489,595,236,211,75,994,2557,2242,315,10405,8477,1928,3237
2003-2004,5915,Greater Vancouver,32290,10086,3078,3547,2063,23798,18853,16504,2349,18874,24383,-5509,20638
2003-2004,5917,Capital,938,1098,422,387,181,56,6023,4092,1931,7933,8021,-88,1899
2003-2004,5919,Cowichan Valley,94,112,47,40,16,5,1061,525,536,3510,2881,629,1170
2003-2004,5921,Nanaimo,282,187,159,65,42,231,2434,1123,1311,6060,4490,1570,3112
2003-2004,5923,Alberni-Clayoquot,20,22,12,8,5,7,300,228,72,1191,1222,-31,48
2003-2004,5924,Strathcona,37,68,41,24,8,-6,819,539,280,1644,1381,263,537
2003-2004,5926,Comox Valley,54,97,58,35,8,-12,1158,761,397,2323,1951,372,757
2003-2004,5927,Powell River,6,10,13,4,3,8,180,159,21,732,772,-40,-11
2003-2004,5929,Sunshine Coast,24,37,53,13,6,33,330,182,148,1435,1061,374,555
2003-2004,5931,Squamish-Lillooet,144,127,40,47,31,41,684,420,264,1487,1915,-428,-123
2003-2004,5933,Thompson-Nicola,104,136,72,50,47,37,1598,1872,-274,5056,4341,715,478
2003-2004,5935,Central Okanagan,387,325,190,112,40,180,3537,2265,1272,6001,4514,1487,2939
2003-2004,5937,North Okanagan,88,150,66,53,6,-43,1362,1075,287,3646,2844,802,1046
2003-2004,5939,Columbia-Shuswap,51,29,22,11,6,39,952,796,156,2097,2162,-65,130
2003-2004,5941,Cariboo,44,63,16,22,9,-16,487,698,-211,2313,2715,-402,-629
2003-2004,5943,Mount Waddington,11,8,8,2,2,11,93,136,-43,582,842,-260,-292
2003-2004,5945,Central Coast,5,8,0,2,1,-4,27,31,-4,192,178,14,6
2003-2004,5947,Skeena-Queen Charlotte,27,32,14,11,5,3,151,253,-102,548,1007,-459,-558
2003-2004,5949,Kitimat-Stikine,28,116,20,39,10,-97,342,587,-245,1125,1639,-514,-856
2003-2004,5951,Bulkley-Nechako,44,61,40,22,6,7,370,512,-142,1398,1620,-222,-357
2003-2004,5953,Fraser-Fort George,73,106,44,37,14,-12,1076,1611,-535,3308,3687,-379,-926
2003-2004,5955,Peace River,100,111,9,39,13,-28,1335,1604,-269,1774,1599,175,-122
2003-2004,5957,Stikine,0,4,0,2,0,-6,24,37,-13,54,52,2,-17
2003-2004,5959,Northern Rockies,7,4,0,1,0,2,293,235,58,298,294,4,64
2004-2005,5900,British Columbia,40577,12883,5678,4925,5711,34158,54280,46066,8214,95150,95150,0,42372
2004-2005,5901,East Kootenay,70,116,53,46,21,-18,1565,1682,-117,1373,1502,-129,-264
2004-2005,5903,Central Kootenay,52,92,51,35,23,-1,1138,1185,-47,1969,2013,-44,-92
2004-2005,5905,Kootenay Boundary,38,64,19,24,14,-17,515,477,38,1382,1154,228,249
2004-2005,5907,Okanagan-Similkameen,156,115,59,44,25,81,1528,1053,475,3270,3019,251,807
2004-2005,5909,Fraser Valley,1350,407,207,152,156,1154,2723,2676,47,10318,9000,1318,2519
2004-2005,5915,Greater Vancouver,35990,9314,3656,3550,4488,31270,20790,17814,2976,19429,24913,-5484,28762
2004-2005,5917,Capital,1151,980,587,380,385,763,6216,4134,2082,8123,8102,21,2866
2004-2005,5919,Cowichan Valley,105,118,77,48,33,49,964,662,302,3519,2976,543,894
2004-2005,5921,Nanaimo,263,232,169,86,90,204,2687,1401,1286,6032,4784,1248,2738
2004-2005,5923,Alberni-Clayoquot,22,19,21,8,7,23,338,261,77,1345,1225,120,220
2004-2005,5924,Strathcona,49,71,30,28,16,-4,842,564,278,1661,1442,219,493
2004-2005,5926,Comox Valley,70,103,42,39,18,-12,1188,796,392,2346,2036,310,690
2004-2005,5927,Powell River,22,26,4,11,7,-4,237,169,68,854,802,52,116
2004-2005,5929,Sunshine Coast,42,19,45,8,15,75,316,205,111,1360,1095,265,451
2004-2005,5931,Squamish-Lillooet,133,99,51,37,64,112,767,536,231,1379,2173,-794,-451
2004-2005,5933,Thompson-Nicola,116,201,93,78,104,34,1617,1858,-241,5323,4397,926,719
2004-2005,5935,Central Okanagan,401,337,229,131,89,251,3751,2542,1209,6025,4776,1249,2709
2004-2005,5937,North Okanagan,96,161,86,64,18,-25,1473,1039,434,3878,2902,976,1385
2004-2005,5939,Columbia-Shuswap,67,61,34,23,14,31,1073,889,184,2391,2150,241,456
2004-2005,5941,Cariboo,67,54,22,21,18,32,571,766,-195,2817,2811,6,-157
2004-2005,5943,Mount Waddington,7,24,0,10,5,-22,111,127,-16,627,801,-174,-212
2004-2005,5945,Central Coast,0,0,0,0,2,2,24,16,8,192,230,-38,-28
2004-2005,5947,Skeena-Queen Charlotte,35,6,1,2,11,39,158,276,-118,723,1057,-334,-413
2004-2005,5949,Kitimat-Stikine,18,47,19,17,18,-9,376,544,-168,1208,1903,-695,-872
2004-2005,5951,Bulkley-Nechako,25,72,7,28,12,-56,403,577,-174,1351,1871,-520,-750
2004-2005,5953,Fraser-Fort George,150,117,74,44,31,94,1179,1573,-394,3842,3810,32,-268
2004-2005,5955,Peace River,79,24,39,9,25,110,1412,1829,-417,2019,1811,208,-99
2004-2005,5957,Stikine,1,4,3,2,2,0,27,26,1,42,54,-12,-11
2004-2005,5959,Northern Rockies,2,0,0,0,0,2,291,389,-98,352,341,11,-85
2005-2006,5900,British Columbia,43846,12296,6607,4926,4858,38089,53096,44296,8800,91185,91185,0,46889
2005-2006,5901,East Kootenay,88,95,53,44,111,113,1616,1607,9,1274,1291,-17,105
2005-2006,5903,Central Kootenay,110,150,59,36,52,35,1160,960,200,1798,2035,-237,-2
2005-2006,5905,Kootenay Boundary,31,58,21,25,-131,-162,505,427,78,1318,1218,100,16
2005-2006,5907,Okanagan-Similkameen,187,127,63,44,-155,-76,1292,1110,182,3126,2815,311,417
2005-2006,5909,Fraser Valley,1822,403,221,152,-105,1383,2569,2523,46,9889,8782,1107,2536
2005-2006,5915,Greater Vancouver,38296,9215,4517,3562,4152,34188,20247,17107,3140,18470,24090,-5620,31708
2005-2006,5917,Capital,1235,860,522,384,1776,2289,5724,4287,1437,7785,7577,208,3934
