TypeOfWork,IssueYear,geo_point_2d,PostalCode
Salvage and Abatement,2019,"49.2264515, -123.1462088",V6P 5G7
Addition / Alteration,2019,"49.2382431, -123.1698134",V6N 2T6
New Building,2020,"49.2772157, -123.0470284",V5K 2M9
Addition / Alteration,2019,"49.2857773, -123.1222436",V6E 3C9
Demolition / Deconstruction,2020,"49.2288683, -123.1232591",V5Z 2R2
Addition / Alteration,2019,"49.276396, -123.0552709",V5K 2P9
Demolition / Deconstruction,2020,"49.2390545, -123.0959766",V5W 1B1
New Building,2021,"49.2377913, -123.0573494",V5R 3G8
Demolition / Deconstruction,2020,"49.2678125, -123.02868",V5M 1J7
Salvage and Abatement,2019,"49.2678125, -123.02868",V5M 1J7
Demolition / Deconstruction,2019,"49.2754103, -123.1263084",V6B 3N9
Salvage and Abatement,2019,"49.2754103, -123.1263084",V6B 3N9
New Building,2020,"49.2688762, -123.059623",V5N 1G1
Addition / Alteration,2020,"49.2679435, -123.1833749",V6R 3M4
Demolition / Deconstruction,2019,"49.2468332, -123.1848484",V6S 2G5
New Building,2019,"49.2300105, -123.0292182",V5R 4M9
Addition / Alteration,2019,"49.2456886, -123.1848217",V6S 2G6
Salvage and Abatement,2019,"49.2618188, -123.1792411",V6R 2M8
Addition / Alteration,2019,"49.2698838, -123.1159889",V5Z 4K6
Addition / Alteration,2019,"49.2064398, -123.0981117",V5X 2X7
Addition / Alteration,2019,"49.2759277, -123.1170009",V6Z 3C2
Addition / Alteration,2019,"49.2800024, -123.124897",V6Z 2H2
Addition / Alteration,2019,"49.2927871, -123.1358847",V6G 1B3
Addition / Alteration,2017,"49.2603626, -123.1556754",V6K 2S4
Demolition / Deconstruction,2017,"49.2391923, -123.167545",V6N 2P8
Addition / Alteration,2017,"49.2866494, -123.125227",V6E 4A2
Demolition / Deconstruction,2017,"49.2818514, -123.0627584",V5L 1R3
New Building,2017,"49.2483049, -123.1773983",V6L 1W7
Demolition / Deconstruction,2017,"49.2522297, -123.1869656",V6S 1K6
Addition / Alteration,2017,"49.2755417, -123.1200892",V6B 2T4
Addition / Alteration,2017,"49.2686247, -123.1047295",N/A
Addition / Alteration,2017,"49.2832682, -123.101945",N/A
Addition / Alteration,2019,"49.2801232, -123.077408",V5L 3H6
New Building,2019,"49.2256058, -123.1613915",V6P 5W8
New Building,2019,"49.2718359, -123.0624583",V5L 2W8
Addition / Alteration,2019,"49.2923148, -123.1342752",N/A
Addition / Alteration,2020,"49.2879647, -123.1208433",V6E 4R5
Addition / Alteration,2019,"49.2865369, -123.1189802",V7X 1M3
New Building,2019,"49.2215632, -123.0867077",V5X 1J6
Addition / Alteration,2019,"49.260581, -123.1441644",V6J 2E6
Addition / Alteration,2019,"49.257498, -123.1119237",V5Y 1Y2
Addition / Alteration,2019,,N/A
New Building,2019,"49.2397211, -123.1671008",V6N 2P7
Demolition / Deconstruction,2019,"49.2397211, -123.1671008",V6N 2P7
Addition / Alteration,2019,"49.2861265, -123.1198029",V7X 1K8
Addition / Alteration,2019,"49.2592147, -123.0450473",N/A
Addition / Alteration,2019,"49.2340293, -123.0840033",V5W 1M5
Addition / Alteration,2019,"49.2387995, -123.1724843",V6N 2T8
New Building,2020,"49.247419, -123.13749",V6H 2E1
Demolition / Deconstruction,2020,"49.2683814, -123.0629518",V5N 1E7
Addition / Alteration,2020,"49.2584881, -123.0827683",V5T 2L8
Addition / Alteration,2019,"49.264222, -123.1592579",V6K 2E6
Addition / Alteration,2019,"49.2630118, -123.1210731",V5Z 1G8
Salvage and Abatement,2019,"49.2463928, -123.1745484",V6L 1Y5
Addition / Alteration,2019,"49.2834497, -123.1162348",V6B 1N3
Demolition / Deconstruction,2019,"49.2710891, -123.0453299",V5K 3H3
Salvage and Abatement,2019,"49.2235506, -123.1036309",V5X 1C3
Salvage and Abatement,2019,"49.2508963, -123.0995344",V5V 1T7
Addition / Alteration,2020,"49.246394, -123.101601",V5V 3R1
Addition / Alteration,2019,"49.264107, -123.1661972",N/A
Addition / Alteration,2019,"49.2818014, -123.1180513",V6B 4N9
Addition / Alteration,2020,"49.2822245, -123.1237834",V6Z 1X9
Salvage and Abatement,2019,"49.2419214, -123.0354734",V5R 4Y2
Addition / Alteration,2019,"49.2264218, -123.1012006",V5W 2V4
Addition / Alteration,2019,"49.2565872, -123.1240266",V5Z 3T9
Demolition / Deconstruction,2019,"49.2357811, -123.1872622",V6N 1Y2
New Building,2020,"49.2286144, -123.0729917",V5P 3G8
New Building,2017,"49.2293957, -123.0679305",V5P 3N9
Salvage and Abatement,2017,"49.2293957, -123.0679305",V5P 3N9
Addition / Alteration,2017,"49.2845175, -123.1188597",N/A
Salvage and Abatement,2019,"49.2233325, -123.0599678",V5P 1W4
New Building,2019,"49.2845266, -123.0498752",V5K 1P9
New Building,2021,"49.2847227, -123.0929503",V6A 1A7
Addition / Alteration,2019,"49.2842916, -123.1165221",N/A
Addition / Alteration,2019,"49.2866494, -123.125227",V6E 4A2
Addition / Alteration,2020,"49.2380074, -123.0458156",V5R 3V4
Addition / Alteration,2019,"49.2640779, -123.150035",V6J 4Y3
Addition / Alteration,2019,"49.2866494, -123.125227",V6E 4A2
New Building,2020,"49.243915, -123.1654897",V1V 1V1
Salvage and Abatement,2019,"49.2235167, -123.0558245",V5S 2K3
Addition / Alteration,2019,"49.2447429, -123.0648598",V5N 2T3
Addition / Alteration,2019,"49.287517, -123.1172287",V6C 0C5
New Building,2020,"49.2671691, -123.0414616",V5M 1L1
Addition / Alteration,2019,"49.2743845, -123.0541756",V5K 2Y3
Addition / Alteration,2019,"49.2638402, -123.1575545",V6K 2E3
Addition / Alteration,2019,"49.26575, -123.137664",V6H 4H6
Addition / Alteration,2019,"49.2591858, -123.1093598",V5Y 3V8
Addition / Alteration,2019,"49.2790438, -123.1169858",V6B 6M3
Addition / Alteration,2019,"49.2686555, -123.1463602",V6J 1K8
New Building,2019,"49.2529114, -123.1913238",V6S 1J9
Addition / Alteration,2019,"49.2636606, -123.1615452",V6K 2E7
Addition / Alteration,2019,"49.2790438, -123.1169858",V6B 6M3
Addition / Alteration,2019,"49.2790438, -123.1169858",V6B 6M3
Addition / Alteration,2019,"49.2410925, -123.0887088",V5V 2Y9
Addition / Alteration,2019,"49.2226037, -123.0805481",V5X 4G3
Addition / Alteration,2019,"49.2739139, -123.1181567",V6Z 2Z2
Addition / Alteration,2019,"49.2237415, -123.1619541",V6P 5W9
Demolition / Deconstruction,2020,"49.2314725, -123.1263375",V5Z 3W9
Addition / Alteration,2019,"49.2349434, -123.1618184",V6M 2A5
New Building,2020,"49.2326049, -123.1937669",V6N 2B8
New Building,2020,"49.2693798, -123.2105869",V6R 1R4
Demolition / Deconstruction,2020,"49.2693798, -123.2105869",V6R 1R4
Addition / Alteration,2019,"49.2911339, -123.1348618",N/A
Temporary Building / Structure,2019,,N/A
Addition / Alteration,2019,"49.2833965, -123.117746",V7Y 1K8
Addition / Alteration,2019,"49.253105, -123.1808146",V6S 1J1
Addition / Alteration,2019,"49.2136923, -123.1504784",V6P 5N7
Addition / Alteration,2019,"49.2724141, -123.0724662",V5L 2V8
Addition / Alteration,2019,"49.2567545, -123.0929595",V5T 2V1
Addition / Alteration,2019,"49.2453365, -123.1034798",V5V 3J1
Salvage and Abatement,2019,"49.2521999, -123.0641409",N/A
New Building,2020,"49.2627849, -123.1803637",V6R 3H8
Salvage and Abatement,2019,"49.2627849, -123.1803637",V6R 3H8
Addition / Alteration,2017,"49.2845408, -123.061296",V5L 4L1
Addition / Alteration,2017,"49.2635524, -123.1546968",V6K 2E1
Salvage and Abatement,2017,"49.2365882, -123.0423497",V5R 2K2
New Building,2017,"49.2353711, -123.1004769",V5W 1K2
Addition / Alteration,2017,"49.2821643, -123.1109558",V6B 1T3
Addition / Alteration,2017,"49.289197, -123.1389642",N/A
Addition / Alteration,2019,"49.2819115, -123.1319938",V6E 1L4
Addition / Alteration,2017,"49.2431533, -123.1337023",V6H 2J2
Addition / Alteration,2017,"49.2499464, -123.1562177",V6L 3C1
Addition / Alteration,2017,"49.2853646, -123.1145449",V6C 1T2
Addition / Alteration,2017,"49.2842916, -123.1165221",N/A
Demolition / Deconstruction,2020,"49.2719369, -123.1838468",V6R 1A9
Addition / Alteration,2019,"49.2884502, -123.1323178",V6G 1G4
Salvage and Abatement,2019,"49.2590516, -123.0866203",V5T 2L4
Addition / Alteration,2019,"49.2877017, -123.1186181",V6E 2E9
Addition / Alteration,2019,"49.2524682, -123.0839983",V5V 1N6
Addition / Alteration,2020,"49.2685076, -123.136697",V6H 3W1
Addition / Alteration,2019,"49.2549544, -123.1919784",V6S 1G3
Demolition / Deconstruction,2019,"49.2659039, -123.2144501",V6R 2A6
New Building,2020,"49.2524839, -123.0590273",V5N 2J8
Demolition / Deconstruction,2020,"49.2524839, -123.0590273",V5N 2J8
Addition / Alteration,2019,"49.2629309, -123.1555816",N/A
Addition / Alteration,2020,"49.2599968, -123.0922755",V5T 2H6
New Building,2020,"49.2579981, -123.068678",V5N 2E3
Addition / Alteration,2019,"49.2809088, -123.0685078",V5L 1S9
New Building,2020,"49.2311164, -123.0551598",V5R 3K5
New Building,2020,"49.2119948, -123.0842546",V5X 2N6
Addition / Alteration,2019,"49.2842667, -123.023997",V5K 4R4
Addition / Alteration,2019,"49.2076015, -123.0342334",V5S 4R9
Addition / Alteration,2020,"49.2284188, -123.1125109",V5Y 2X3
Addition / Alteration,2019,"49.2076015, -123.0342334",V5S 4S2
Addition / Alteration,2019,"49.2076015, -123.0342334",V5S 4S3
Addition / Alteration,2019,"49.2319662, -123.1191819",V5Z 2M9
Addition / Alteration,2019,"49.2797578, -123.1032813",N/A
Demolition / Deconstruction,2020,"49.2269921, -123.0537783",V5S 1E6
Addition / Alteration,2019,"49.2699121, -123.0738745",V5L 3S9
Addition / Alteration,2019,"49.2806136, -123.1289132",V6Z 1Y6
Salvage and Abatement,2019,"49.2440416, -123.1938607",V6S 1Y6
Addition / Alteration,2019,"49.2927871, -123.1358847",V6G 1B3
Addition / Alteration,2019,"49.2818014, -123.1180513",V6B 4N9
Addition / Alteration,2019,"49.2716428, -123.1653847",V6K 1E5
Addition / Alteration,2019,"49.2875926, -123.1220897",V6E 4G1
Addition / Alteration,2019,"49.2642816, -123.1770512",N/A
New Building,2017,"49.2784721, -123.0268426",V5K 2L9
Addition / Alteration,2017,"49.2637133, -123.1271155",V6H 4B1
Addition / Alteration,2017,"49.2832942, -123.1213394",V6Z 1S4
Addition / Alteration,2017,"49.2144216, -123.0411402",V5S 3E6
New Building,2017,"49.2475973, -123.1395939",V1V 1V1
New Building,2017,"49.2402235, -123.1904393",V6N 2N9
Addition / Alteration,2017,"49.2044555, -123.1343751",V6P 4N2
New Building,2017,"49.2119595, -123.1288079",V6P 3X9
New Building,2017,"49.2118782, -123.1288099",V1V 1V1
Addition / Alteration,2017,"49.2072163, -123.1409829",V6P 5A3
New Building,2020,"49.2514743, -123.0463456",V5M 2W4
Addition / Alteration,2019,"49.281304, -123.1112381",V6B 1S9
New Building,2021,"49.2289461, -123.155001",V6M 2M4
New Building,2020,"49.2534427, -123.1935446",V6S 1J9
Demolition / Deconstruction,2020,"49.2440163, -123.0619945",V5N 2T4
Addition / Alteration,2020,"49.2617192, -123.0970306",V5T 1Z7
Demolition / Deconstruction,2020,"49.2520287, -123.0634787",V5N 2L2
Addition / Alteration,2019,"49.2358231, -123.156575",V6M 1W4
New Building,2020,"49.241401, -123.0790164",V5V 4X8
Addition / Alteration,2019,"49.2327587, -123.0324752",V5R 5K6
Demolition / Deconstruction,2019,"49.2317708, -123.1934081",V6N 2B8
Salvage and Abatement,2019,"49.2317708, -123.1934081",V6N 2B8
Addition / Alteration,2017,"49.281304, -123.1112381",V6B 1S9
New Building,2018,"49.2378908, -123.1653178",V6N 1B9
New Building,2018,"49.2373504, -123.0430172",V5R 2Z5
Addition / Alteration,2017,"49.2860177, -123.116401",V6C 3B2
New Building,2017,"49.2567944, -123.097119",N/A
Salvage and Abatement,2017,"49.2476894, -123.134919",V6H 3B3
New Building,2017,"49.2245621, -123.1585685",V6P 5W1
Addition / Alteration,2017,"49.2638751, -123.1260888",V5Z 1K5
Addition / Alteration,2017,"49.2811779, -123.1169631",V6B 0M3
Addition / Alteration,2017,"49.2303609, -123.1211348",V5Z 3N2
New Building,2018,"49.2165481, -123.1055224",V5X 1X6
New Building,2018,"49.2165394, -123.1055367",V5X 1X6
Salvage and Abatement,2017,"49.2513073, -123.0492541",V5M 2W2
Addition / Alteration,2017,"49.2510152, -123.1238226",V5Z 2B1
Demolition / Deconstruction,2017,"49.2845107, -123.0276237",V5K 1S1
Salvage and Abatement,2017,"49.2212263, -123.1441418",V6P 5C5
Addition / Alteration,2019,"49.25332, -123.0702234",V5N 3W9
Addition / Alteration,2019,"49.2874479, -123.1166597",N/A
Addition / Alteration,2019,"49.2740376, -123.1227934",V6B 5Z5
New Building,2020,"49.2499526, -123.1053478",V5Y 2G8
New Building,2020,"49.2607411, -123.07084",V5N 1Y8
Salvage and Abatement,2019,"49.2607411, -123.07084",V5N 1Y8
Addition / Alteration,2019,"49.2361694, -123.0442108",N/A
Outdoor Uses (No Buildings Proposed),2019,"49.2831669, -123.1209088",V6Z 2H7
Salvage and Abatement,2019,"49.2119105, -123.1505466",V6P 6B3
New Building,2020,"49.2093855, -123.0605487",V5P 2P1
Addition / Alteration,2019,"49.2778132, -123.1161004",V6B 2P4
Addition / Alteration,2019,"49.265774, -123.127716",V6H 2P3
New Building,2020,"49.2455293, -123.0910338",V5V 2N5
New Building,2019,"49.2264371, -123.0322415",V5S 3L6
Demolition / Deconstruction,2020,"49.2798778, -123.0551185",V5K 2B3
Salvage and Abatement,2019,"49.2669125, -123.0395231",V5M 1L3
Addition / Alteration,2019,"49.2525644, -123.0320327",V5M 4C9
Addition / Alteration,2019,"49.2517689, -123.0299684",V5M 4E3
Addition / Alteration,2019,"49.222331, -123.1620952",V6P 6C2
Addition / Alteration,2019,"49.2639097, -123.1399344",V6J 1W7
New Building,2020,"49.2172353, -123.0952367",V5X 1W1
Addition / Alteration,2019,"49.2568581, -123.100494",V5T 2T5
New Building,2020,"49.2474303, -123.1949742",V6S 1S7
Salvage and Abatement,2019,"49.2406617, -123.1648465",V6N 2L9
Addition / Alteration,2019,"49.2849763, -123.1324227",V6E 3T1
Addition / Alteration,2019,"49.2871327, -123.1345984",V6G 1M2
Addition / Alteration,2019,"49.2532382, -123.1417184",V6J 2T1
Addition / Alteration,2019,"49.2286403, -123.0726183",V5P 3G8
New Building,2020,"49.2375928, -123.1951761",V6N 2Y9
Salvage and Abatement,2019,"49.2153764, -123.1514867",V6P 2G5
Addition / Alteration,2019,"49.2804427, -123.1035844",N/A
Salvage and Abatement,2019,"49.2387046, -123.0449611",V5R 4S1
Demolition / Deconstruction,2020,"49.2450036, -123.1965627",V6S 1X5
Addition / Alteration,2020,"49.2328373, -123.1830269",V6N 3J9
Addition / Alteration,2019,"49.23858, -123.0954159",V5W 1A9
Demolition / Deconstruction,2020,"49.2306025, -123.0261468",V5R 4P7
Salvage and Abatement,2019,"49.2306025, -123.0261468",V5R 4P7
Addition / Alteration,2019,"49.2866355, -123.1132288",V6C 3R8
Addition / Alteration,2020,"49.2814038, -123.0867965",V6A 1R8
New Building,2020,"49.2748071, -123.0367106",V5K 4J9
Salvage and Abatement,2019,"49.2300949, -123.055572",V5R 3K4
Addition / Alteration,2020,"49.2594446, -123.1557042",V6K 4M4
Addition / Alteration,2019,"49.2633505, -123.0803743",V5T 4V5
Addition / Alteration,2019,"49.273787, -123.1198134",V6Z 2Y4
Addition / Alteration,2020,"49.266592, -123.1812863",V6R 1T3
New Building,2020,"49.2167868, -123.0561276",V5S 2K9
Salvage and Abatement,2019,"49.2167868, -123.0561276",V5S 2K9
New Building,2020,"49.2666785, -123.0372893",V5M 1L6
Addition / Alteration,2019,"49.276533, -123.1207835",V6B 2W9
New Building,2019,"49.2499594, -123.0583298",V5N 5B2
Addition / Alteration,2019,"49.2841123, -123.1139091",N/A
Salvage and Abatement,2019,"49.2315479, -123.0951969",V5W 2Y4
Addition / Alteration,2020,"49.2878185, -123.1282059",V6E 4L5
Addition / Alteration,2019,"49.2315033, -123.1618503",V6M 4C2
Addition / Alteration,2021,"49.2809379, -123.1158925",V6B 1Z3
Addition / Alteration,2020,"49.2808623, -123.1155213",V1V 1V1
Addition / Alteration,2019,"49.268596, -123.0978447",N/A
Addition / Alteration,2019,"49.2473653, -123.0931769",V5V 2H7
New Building,2020,"49.2259757, -123.1613796",V6P 5W8
Addition / Alteration,2019,"49.2842495, -123.1179816",V6C 2T6
Demolition / Deconstruction,2019,"49.2492839, -123.1119542",V5Y 2J1
Addition / Alteration,2020,"49.2653608, -123.107189",V5Y 1K6
Addition / Alteration,2020,"49.2701487, -123.0573988",V5L 3C4
Demolition / Deconstruction,2020,"49.2158864, -123.0893146",V5X 2A5
Demolition / Deconstruction,2020,"49.2688904, -123.0611334",V5N 1E9
New Building,2020,"49.2255621, -123.0312055",V5S 1H6
New Building,2020,"49.2560852, -123.0490601",V5M 2K3
Addition / Alteration,2019,"49.2729491, -123.1623095",V6K 3N4
New Building,2020,"49.2563101, -123.0491281",V5M 2K3
Addition / Alteration,2019,"49.2864734, -123.1162627",V6C 1E5
Addition / Alteration,2019,"49.261996, -123.1397776",V6J 2B5
Addition / Alteration,2020,"49.2844173, -123.123936",V6E 1A9
Addition / Alteration,2019,"49.2638167, -123.1692012",V6K 2G7
Addition / Alteration,2019,"49.2840591, -123.1256255",V6E 1W2
New Building,2020,"49.2331926, -123.1867861",V6N 1Y4
Salvage and Abatement,2019,"49.2594283, -123.2015838",V6R 3A7
Salvage and Abatement,2019,"49.2260296, -123.1381087",V6P 4S1
New Building,2020,"49.2528526, -123.1255079",V5Z 1Z2
Demolition / Deconstruction,2020,"49.2528526, -123.1255079",V5Z 1Z2
Salvage and Abatement,2019,"49.2448523, -123.0831722",V5V 2S5
Addition / Alteration,2019,"49.2209082, -123.1277599",V6P 3Z9
Addition / Alteration,2019,"49.284808, -123.1156241",V6C 1G8
New Building,2017,"49.2292187, -123.0687105",V5P 3P1
Addition / Alteration,2017,"49.2637672, -123.1869391",V6R 2G5
Demolition / Deconstruction,2020,"49.2361229, -123.0526633",V5R 3M1
Addition / Alteration,2019,"49.25105, -123.0447929",V5M 3L7
Addition / Alteration,2019,"49.280116, -123.1308662",N/A
Demolition / Deconstruction,2020,"49.2462737, -123.0964587",V5V 3Y7
Addition / Alteration,2017,"49.2071664, -123.0997126",N/A
Salvage and Abatement,2017,"49.2690252, -123.2031481",V6R 1G2
Addition / Alteration,2017,"49.2645306, -123.1253339",V5Z 1E4
Addition / Alteration,2017,"49.2823339, -123.0852125",V6A 3R2
Addition / Alteration,2018,"49.2693196, -123.1092248",V5Y 1B8
Addition / Alteration,2019,"49.2658539, -123.1439635",V6J 5E7
Addition / Alteration,2019,"49.2692512, -123.1522039",V6J 1L4
Addition / Alteration,2019,"49.2731947, -123.1276686",V6Z 3B8
Addition / Alteration,2019,"49.26575, -123.137664",V6H 4H9
Addition / Alteration,2019,"49.2639097, -123.1399344",V6J 1W7
Addition / Alteration,2019,"49.280886, -123.0541062",V5K 1Z3
Addition / Alteration,2019,"49.2800024, -123.124897",V6Z 2H2
Addition / Alteration,2020,"49.215072, -123.0639355",V5P 2H8
Addition / Alteration,2019,"49.2889742, -123.1429104",V6G 1Z2
Addition / Alteration,2020,"49.270641, -123.1086047",V5Y 0E3
New Building,2020,"49.2414994, -123.0661161",V5N 0H9
Addition / Alteration,2019,"49.2610381, -123.0427635",V5M 4X6
Addition / Alteration,2019,"49.2844557, -123.1230128",V6E 1A3
Addition / Alteration,2020,"49.2060438, -123.1223126",V6P 3S8
Demolition / Deconstruction,2020,"49.237271, -123.1877486",V6N 2Y2
Salvage and Abatement,2019,"49.237271, -123.1877486",V6N 2Y2
Demolition / Deconstruction,2020,"49.2386699, -123.097415",V5W 1A8
Addition / Alteration,2019,"49.2822452, -123.1194942",V7Y 1K8
Addition / Alteration,2019,"49.2400332, -123.059624",V5N 3E9
Addition / Alteration,2021,"49.2725928, -123.1359691",N/A
New Building,2020,"49.259911, -123.1883473",V6R 2X1
Demolition / Deconstruction,2020,"49.2510729, -123.0339144",V5M 3W2
Addition / Alteration,2019,"49.2156704, -123.1333537",V6P 2K1
Salvage and Abatement,2019,"49.2874133, -123.050695",V5K 1K1
Demolition / Deconstruction,2020,"49.2246375, -123.0804752",V5X 4G1
New Building,2020,"49.2163694, -123.0546993",V5S 2E4
Addition / Alteration,2019,"49.2610776, -123.0430027",V5M 0A5
Addition / Alteration,2019,"49.2610776, -123.0430027",V5M 0A5
Addition / Alteration,2020,"49.2801, -123.0979139",V6A 1T7
Addition / Alteration,2019,"49.2382922, -123.0460171",V5R 3T7
Addition / Alteration,2019,"49.2759277, -123.1170009",V6Z 3C2
Salvage and Abatement,2020,"49.2445355, -123.1837793",V6S 1X8
New Building,2020,"49.2376145, -123.0725801",V5P 1C4
Salvage and Abatement,2020,"49.2373975, -123.0726701",V5P 1C4
New Building,2020,"49.2376163, -123.072641",V5P 1C4
Addition / Alteration,2019,"49.2865369, -123.1189802",V7X 1M3
Addition / Alteration,2019,"49.2632435, -123.1133003",N/A
Demolition / Deconstruction,2020,"49.2191032, -123.1411844",V6P 1T2
Addition / Alteration,2020,"49.2745202, -123.0604744",V5L 2N9
Addition / Alteration,2019,"49.2617286, -123.1168668",V5Z 4K4
Addition / Alteration,2020,"49.2647732, -123.197566",V6R 2A8
Addition / Alteration,2020,"49.2618871, -123.1863388",V6R 3S3
Addition / Alteration,2017,"49.2851186, -123.1228755",V6E 4H1
Addition / Alteration,2017,"49.2845456, -123.1219902",V6E 2Y2
Addition / Alteration,2020,"49.2640779, -123.150035",V6J 4Y3
Demolition / Deconstruction,2020,"49.2202571, -123.0937209",V5X 1N6
New Building,2018,"49.2748309, -123.0688266",V5L 2N2
New Building,2018,"49.2357365, -123.0408162",V5R 5J7
Addition / Alteration,2017,"49.2807364, -123.1376048",V6E 2E5
Addition / Alteration,2017,"49.271211, -123.1053402",V5Y 0C6
Demolition / Deconstruction,2020,"49.253537, -123.1925449",V6S 1H6
Addition / Alteration,2019,"49.2424544, -123.0592256",N/A
Demolition / Deconstruction,2020,"49.2604155, -123.2066616",V6R 2Y2
New Building,2020,"49.2601937, -123.2067436",V6R 2Y2
Temporary Building / Structure,2019,"49.2831669, -123.1209088",V6Z 2H7
Temporary Building / Structure,2019,"49.2395129, -123.1326364",V6M 4H1
Addition / Alteration,2020,"49.207638, -123.0375244",V5S 4R8
Demolition / Deconstruction,2020,"49.2307458, -123.088836",V5W 3B6
Addition / Alteration,2021,"49.2568933, -123.1855016",V6S 2B9
Salvage and Abatement,2019,"49.2335943, -123.0330533",V5R 4W6
Addition / Alteration,2019,"49.285919, -123.1154038",V6C 1C8
New Building,2020,"49.2482325, -123.0650345",V5N 4N3
Addition / Alteration,2019,"49.2646609, -123.1061674",N/A
Addition / Alteration,2020,"49.2288954, -123.1104633",V5Y 2X1
New Building,2020,"49.2356164, -123.0865901",V5W 1J3
New Building,2023,"49.238086, -123.1022541",V5W 4A1
Addition / Alteration,2019,"49.2636086, -123.0819242",V5T 1V1
Demolition / Deconstruction,2021,"49.2545943, -123.1757659",V6L 2T6
New Building,2020,"49.2665974, -123.0242275",V1V 1V1
Addition / Alteration,2019,"49.271097, -123.2136024",V6R 1L1
Salvage and Abatement,2020,"49.2626492, -123.0322117",V5M 1X9
New Building,2020,"49.2444377, -123.1376327",V6H 2J4
Salvage and Abatement,2019,"49.2444377, -123.1376327",V6H 2J4
Addition / Alteration,2019,"49.2663095, -123.161232",V6K 1W3
New Building,2020,"49.2675971, -123.0367314",V5M 1J3
Demolition / Deconstruction,2020,"49.2688222, -123.2144535",V6R 1R5
Addition / Alteration,2020,"49.223925, -123.0661758",V5P 3Y2
Addition / Alteration,2021,"49.2330879, -123.08317",V5W 1P9
New Building,2020,"49.2859507, -123.029868",V5K 1N8
Addition / Alteration,2019,"49.2810797, -123.125105",V6Z 1V3
New Building,2021,"49.2609788, -123.0244728",V5M 2H5
New Building,2020,,V5Z 1W3
Addition / Alteration,2019,"49.262936, -123.1165444",V5Z 0E9
Addition / Alteration,2019,"49.2835571, -123.1376643",V6G 1W6
Addition / Alteration,2020,"49.2201075, -123.1277957",V6P 1S4
Addition / Alteration,2020,"49.286865, -123.0593206",V5L 3E4
Addition / Alteration,2020,"49.2343837, -123.1927422",V6N 2A9
Addition / Alteration,2019,"49.2622827, -123.1329325",V6H 1J3
Addition / Alteration,2021,"49.2746407, -123.2120155",V6R 1B9
Addition / Alteration,2020,"49.2627878, -123.0964542",N/A
Addition / Alteration,2020,"49.2806762, -123.1012586",V6A 1T6
Addition / Alteration,2017,"49.2806136, -123.1289132",V6Z 1Y6
New Building,2020,"49.2581184, -123.1748234",V6K 3C9
Salvage and Abatement,2017,"49.2512437, -123.0367458",V5M 2W9
Addition / Alteration,2017,"49.2849695, -123.1193112",V6C 2X8
Salvage and Abatement,2017,"49.2544146, -123.0930374",V5V 1G3
New Building,2020,"49.2657389, -123.0284186",V5M 1P6
New Building,2020,,V5L 3B4
Addition / Alteration,2019,"49.2790276, -123.12325",N/A
Salvage and Abatement,2020,"49.2179536, -123.0424798",V5S 3B4
New Building,2021,"49.2177226, -123.0427049",V5S 3B4
Addition / Alteration,2019,"49.2848767, -123.1178601",V6C 2E7
Addition / Alteration,2020,"49.2724469, -123.0956859",V6A 4C1
Demolition / Deconstruction,2020,"49.2249313, -123.0302163",V5S 1H7
Addition / Alteration,2019,"49.2822859, -123.1399966",V6G 1Y3
Addition / Alteration,2019,"49.2642313, -123.159271",V6K 2E6
Addition / Alteration,2019,"49.2599506, -123.1295738",V6H 2R4
Addition / Alteration,2020,"49.2067179, -123.0450188",V5S 4P7
Salvage and Abatement,2020,"49.2444087, -123.145036",V6J 4J5
Demolition / Deconstruction,2020,"49.2243245, -123.0907235",V1V 1V1
Addition / Alteration,2020,"49.2729524, -123.0462693",V5K 3A8
Addition / Alteration,2020,"49.2645997, -123.1292861",V6H 1C5
Addition / Alteration,2019,"49.2505758, -123.0343722",N/A
Addition / Alteration,2019,"49.2900073, -123.1380495",V6G 2M3
Addition / Alteration,2019,"49.2863367, -123.1148555",V6C 1B4
Addition / Alteration,2020,"49.2627129, -123.127095",V6H 1H9
New Building,2021,"49.2521999, -123.0641409",V5N 4R9
Demolition / Deconstruction,2020,"49.2738716, -123.1481003",V6J 3L1
Salvage and Abatement,2020,"49.2391414, -123.077517",V5W 1A4
Addition / Alteration,2020,"49.2803107, -123.1348001",V6E 2A3
Addition / Alteration,2019,"49.2836988, -123.1196238",V6C 3E8
Addition / Alteration,2020,"49.2055648, -123.121917",V6P 3S8
Salvage and Abatement,2020,"49.2436145, -123.0588203",V5N 2Z7
Addition / Alteration,2020,"49.231458, -123.0280964",V5R 5L7
Demolition / Deconstruction,2020,"49.2465076, -123.0479937",V5R 1N4
Salvage and Abatement,2020,"49.2465076, -123.0479937",V5R 1N4
Addition / Alteration,2020,"49.2835569, -123.1062325",V6B 2K8
New Building,2020,"49.2369096, -123.0824206",V5W 3K7
Addition / Alteration,2019,"49.2807364, -123.1376048",V6E 2E5
New Building,2020,"49.2854336, -123.050436",V5K 1N3
Demolition / Deconstruction,2020,"49.2854336, -123.050436",V5K 1N3
Demolition / Deconstruction,2020,"49.2544287, -123.1890848",V6S 1G2
Salvage and Abatement,2020,"49.2544287, -123.1890848",V6S 1G2
Addition / Alteration,2020,"49.2155301, -123.0619028",V5P 4H1
New Building,2020,"49.2445892, -123.1965602",V6S 1Y7
New Building,2020,"49.2609708, -123.1084106",V5Y 1S7
