TypeOfWork,IssueYear,geo_point_2d,PostalCode
New Building,2019,"49.2231958, -123.0398261",V5S 1S2
New Building,2019,"49.2209992, -123.0352234",V5S 3J7
New Building,2019,"49.2246622, -123.0968218",V1V 1V1
Addition / Alteration,2019,"49.2644173, -123.1851884",N/A
Addition / Alteration,2019,"49.2162563, -123.0426702",V5S 2B3
Addition / Alteration,2019,"49.2905947, -123.1238827",V6C 3P8
Salvage and Abatement,2019,"49.2537249, -123.1237645",V5Z 1Y3
New Building,2019,"49.2535063, -123.1238697",V5Z 1Y3
Addition / Alteration,2019,"49.2856152, -123.1269817",N/A
New Building,2019,"49.2469866, -123.1587277",V6L 2G6
Addition / Alteration,2019,"49.2636462, -123.2149154",V6R 2J5
Addition / Alteration,2019,"49.2458876, -123.0738375",V5N 3T3
Addition / Alteration,2019,"49.2856152, -123.1269817",V6E 1B2
Demolition / Deconstruction,2019,"49.2160554, -123.0989245",V5X 1Z8
Addition / Alteration,2019,"49.2647791, -123.1181059",V5Z 1B5
New Building,2019,"49.2222303, -123.0581983",V5S 1P6
Demolition / Deconstruction,2019,"49.2451816, -123.0703939",V5N 3Z3
Salvage and Abatement,2019,"49.2452625, -123.0703887",V5N 3Z3
Addition / Alteration,2019,"49.2548233, -123.0900336",N/A
New Building,2019,"49.2145388, -123.1001445",V5X 2E8
Salvage and Abatement,2019,"49.2145388, -123.1001445",V5X 2E8
Addition / Alteration,2019,"49.2292153, -123.1980102",N/A
Addition / Alteration,2019,"49.2846812, -123.1118936",V6B 1M1
Addition / Alteration,2019,"49.2222661, -123.0535703",V5S 1S8
Addition / Alteration,2019,"49.2606934, -123.0967377",V5T 4V8
New Building,2019,"49.2165183, -123.042739",V5S 2B3
Addition / Alteration,2019,"49.2350395, -123.08972",V5W 1K5
Addition / Alteration,2019,"49.2657404, -123.1366205",V6H 4H4
New Building,2019,"49.2569409, -123.0530125",V5M 3C5
Addition / Alteration,2019,"49.2454973, -123.1868107",V6S 1W7
New Building,2019,"49.289404, -123.0437778",V5K 1G2
Addition / Alteration,2019,"49.2803166, -123.1228298",V6Z 1N9
