YEAR,TYPE,POSTAL_CODE,Cordinates
2017,Studio/Rehearsal,V6B 1H4,"49.28238, -123.108643"
2017,Theatre/Performance,V6B 5N6,"49.28046, -123.113401"
2017,Cafe/Restaurant/Bar,V6B 1Y4,"49.2828775, -123.1151754"
2017,Other,V5T 3E2,"49.263726, -123.100748"
2017,Cafe/Restaurant/Bar,V6B 2R9,"49.2764562, -123.1202261"
2017,Theatre/Performance,V6H 3R9,"49.272235, -123.13467"
2017,Community Space,V5M 2Y3,"49.2524249068635, -123.042958058734"
2017,Community Space,V6K 1N6,"49.2680684, -123.1531395"
2017,Museum/Gallery,V6A 3Z7,"49.273743, -123.103652"
2017,Community Space,V6A 2B2,"49.2778745, -123.0974061"
2017,Museum/Gallery,V6B 1R3,"49.280978, -123.106127"
2017,Theatre/Performance,V6K 2L2,"49.2630518, -123.1765215"
2017,Community Space,V6A 1L4,"49.2825039, -123.0971846"
2017,Museum/Gallery,"ver, BC","49.294408, -123.137914"
2017,Community Space,V6A 3V8,"49.279779792626, -123.091546208357"
2017,Museum/Gallery,V6A 1X5,"49.279234, -123.098127"
2017,Community Space,V5X 0A1,"49.22286659427, -123.100610434694"
2017,Community Space,V6P 4J6,"49.2047023, -123.1338135"
2017,Cafe/Restaurant/Bar,V5N 4A9,"49.266022, -123.0698073"
2017,Cafe/Restaurant/Bar,V6A 2V8,"49.276514, -123.1001"
2017,Studio/Rehearsal,V6A 4H6,"49.2844308, -123.09843"
2017,Cafe/Restaurant/Bar,V6A 2Z6,"49.2796914, -123.0975156"
2017,Theatre/Performance,V6A 1C2,"49.284153, -123.099046"
2017,Studio/Rehearsal,"er, BC,","49.2064027, -123.1179859"
2017,Theatre/Performance,V6Z 1L3,"49.2800125, -123.1224555"
2017,Cafe/Restaurant/Bar,V6C 1V4,"49.2849231, -123.1143101"
2017,Museum/Gallery,V6A 1B5,"49.2839469, -123.1010921"
2017,Community Space,V5N 4M4,"49.255325, -123.065438"
2017,Museum/Gallery,V6T 1Z2,"49.26907, -123.259174"
2017,Community Space,V6T 1Z3,"49.2612385, -123.2413205"
2017,Community Space,V6A 1V9,"49.2803946, -123.0870172"
2017,Educational,V6J 4R9,"49.274884, -123.144548"
2017,Studio/Rehearsal,V5Z 2G9,"49.247272, -123.125574"
2017,Museum/Gallery,V6Z 2H7,"49.283158, -123.120932"
2017,Community Space,V6A 1C6,"49.284251, -123.093733"
2017,Theatre/Performance,V6B 6A1,"49.2808, -123.112328"
2017,Museum/Gallery,V6A 1L3,"49.282247, -123.0987999"
2017,Educational,V6B 3L4,"49.280221, -123.119768"
2017,Cafe/Restaurant/Bar,V6Z 1K7,"49.2805411, -123.1211246"
2017,Educational,V6A 1E1,"49.2844372, -123.0915178"
2017,Community Space,V6G 2L8,"49.289912961681, -123.136073777706"
2017,Museum/Gallery,V6A 1R1,"49.2794145, -123.0757838"
2017,Studio/Rehearsal,V6A 1R8,"49.2811097, -123.0853822"
2017,Theatre/Performance,V5L 2W2,"49.2786795, -123.0707458"
2017,Theatre/Performance,V5Z 3Y8,"49.2600654, -123.1151069"
2016,Museum/Gallery,V6J 2C7,"49.261938, -123.151123"
2016,Studio/Rehearsal,V6A 4J1,"49.281101, -123.101791"
2016,Museum/Gallery,V6Z 1N9,"49.2803099, -123.1228359"
2016,Community Space,V5Z 3B2,"49.228879, -123.1169818"
2016,Museum/Gallery,V6B 2N5,"49.2817199, -123.1095005"
2016,Museum/Gallery,V6Z 2H2,"49.2800409, -123.1249139"
2016,Museum/Gallery,V6B 4X7,"49.2775077, -123.1165781"
2016,Studio/Rehearsal,V6H 3R7,"49.2700047, -123.1347122"
2016,Theatre/Performance,V6H 3R9,"49.272235, -123.13467"
2016,Studio/Rehearsal,V5A 2P2,"49.270111, -123.098517"
2016,Educational,V5T 1M4,"49.2648965, -123.1033467"
2016,Museum/Gallery,V6B 1H4,"49.282395, -123.108715"
2016,Museum/Gallery,V6B 4Y8,"49.27619, -123.110438"
2016,Museum/Gallery,V6T 1Z4,"49.2634318, -123.251485"
2016,Studio/Rehearsal,V6G 1Z4,"49.2912065, -123.0519037"
2016,Community Space,V6J 2M3,"49.2574655, -123.1468654"
2016,Museum/Gallery,V6Z 1B7,"49.278055, -123.127484"
2016,Museum/Gallery,V5T 1A6,"49.2687198, -123.0980394"
2016,Theatre/Performance,V6T 1Z1,"49.269523, -123.255108"
2016,Theatre/Performance,V6T 1Z1,"49.269509, -123.255184"
2016,Theatre/Performance,V6A 3Y4,"49.2821671, -123.0953265"
2016,Museum/Gallery,V6A 4H5,"49.279894, -123.102448"
2016,Community Space,V6C 2L1,"49.2844929, -123.1203334"
2016,Studio/Rehearsal,V6Z 2L7,"49.278543, -123.126284"
2016,Museum/Gallery,V6H 3S2,"49.272369, -123.135541"
2016,Museum/Gallery,V6J 3J9,"49.276084, -123.142663"
2016,Studio/Rehearsal,V5T 4S2,"49.2670319, -123.0990734"
2016,Studio/Rehearsal,V5Y 1N9,"49.2636714, -123.1134394"
2016,Museum/Gallery,V6P 6A5,"49.2064788, -123.1423354"
2016,Community Space,V5R 6C9,"49.2366135, -123.0328014"
2016,Cafe/Restaurant/Bar,V6Z 1K3,"49.2806189, -123.1208909"
2016,Museum/Gallery,V6B 6R5,"49.278238, -123.121183"
2016,Cafe/Restaurant/Bar,V5V 3R3,"49.2448437, -123.1012058"
2016,Museum/Gallery,V6H 3R8,"49.269837, -123.13479"
2016,Studio/Rehearsal,V5Y 1L8,"49.2647531, -123.1078497"
2016,Theatre/Performance,V6B 1H4,"49.282364, -123.108528"
2016,Museum/Gallery,V5N 4A3,"49.2683622, -123.0692806"
2016,Museum/Gallery,V6H 3S2,"49.2721848, -123.1353489"
2016,Studio/Rehearsal,V5T 1S1,"49.263935, -123.098697"
2016,Cafe/Restaurant/Bar,V6A 2W1,"49.2762334, -123.0997603"
2016,Studio/Rehearsal,V6N 1A3,"49.2341311, -123.1641351"
2016,Studio/Rehearsal,V5M 4C1,"49.2551, -123.03"
2016,Theatre/Performance,V6Z 1L2,"49.2784977, -123.1235587"
2016,Theatre/Performance,V6B 1H4,"49.282402, -123.10859"
2016,Museum/Gallery,V5Y 1P1,"49.2630895, -123.1058083"
2016,Theatre/Performance,V6A 1T5,"49.2806621, -123.1008605"
2016,Museum/Gallery,V6N 1N4,"49.2813343, -123.101858"
2016,Educational,V5T 3C9,"49.263875, -123.101297"
2016,Studio/Rehearsal,V5A 2P2,"49.270087, -123.098432"
2016,Studio/Rehearsal,V6J 3R4,"49.2770875, -123.1500693"
2016,Museum/Gallery,V6T 1Z1,"49.266025, -123.249913"
2016,Museum/Gallery,V5L 3X4,"49.273662, -123.069421"
2016,Community Space,V5T 3G7,"49.257332, -123.100944"
2016,Community Space,V5Y 2M4,"49.2416922650002, -123.104291617649"
