Coordinates
"49.28375, -123.11951"
"49.286461, -123.116279"
"49.28351, -123.11602"
"49.295666, -123.138349"
""
"49.285633, -123.120121"
"49.285603, -123.120043"
"49.284323, -123.143704"
"49.286242, -123.11782"
"49.283618, -123.12202"
"49.281382, -123.08681"
"49.210433, -123.087875"
"49.239068, -123.134604"
"49.240287, -123.130676"
"49.238238, -123.132656"
"49.273312, -123.124754"
""
"49.273266, -123.125332"
"49.272992, -123.121871"
"49.291453, -123.128163"
"49.237801, -123.197495"
"49.262759, -123.069599"
"49.27431, -123.116987"
"49.238059, -123.139622"
"49.237247, -123.101839"
"49.237447, -123.105648"
"49.284039, -123.106393"
"49.276564, -123.11156"
"49.263812, -123.096203"
"49.236852, -123.077085"
""
"49.287974, -123.113395"
"49.239117, -123.129643"
"49.24213, -123.112471"
"49.260248, -123.122348"
"49.28167, -123.112972"
"49.286128, -123.117586"
"49.275936, -123.143107"
"49.269881, -123.135749"
"49.237256, -123.116352"
"49.236546, -123.090125"
"49.282932, -123.120415"
"49.29068, -123.124115"
"49.287072, -123.117523"
"49.272579, -123.122657"
"49.266145, -123.07414"
"49.284264, -123.094788"
"49.25661, -123.070049"
"49.27739, -123.113126"
"49.262375, -123.162018"
""
"49.275649, -123.073772"
"49.282574, -123.129618"
"49.260535, -123.069932"
"49.27788, -123.136502"
""
"49.279305, -123.120407"
"49.260258, -123.0582"
""
"49.273792, -123.0927"
"49.271763, -123.125023"
""
""
"49.275437, -123.131316"
"49.256044, -123.1151"
"49.264171, -123.1138"
""
"49.265426, -123.077613"
""
"49.279698, -123.115556"
"49.275046, -123.121383"
"49.271127, -123.133831"
"49.264032, -123.100272"
"49.272196, -123.106964"
""
"49.255147, -123.065904"
"49.244221, -123.106548"
"49.280702, -123.103328"
"49.279698, -123.115556"
"49.285291, -123.0978"
"49.282788, -123.107762"
""
"49.280516, -123.1043"
""
"49.280131, -123.1142"
""
"49.285396, -123.1221"
"49.282716, -123.108077"
"49.282597, -123.1181"
"49.228129, -123.090289"
"49.272544, -123.114779"
"49.281596, -123.112298"
"49.286341, -123.1435"
"49.280003, -123.113895"
""
""
""
""
"49.280788, -123.104816"
"49.274639, -123.1278"
"49.27911, -123.0847"
""
"49.280916, -123.094182"
""
""
"49.271536, -123.101402"
"49.285762, -123.123947"
""
"49.281374, -123.1197"
""
""
""
"49.269617, -123.057158"
"49.208554, -123.1421"
"49.286844, -123.124153"
"49.209415, -123.141154"
"49.239068, -123.134604"
"49.239068, -123.134604"
"49.279663, -123.114234"
"49.285762, -123.123947"
"49.243202, -123.108739"
"49.281374, -123.1197"
""
""
""
"49.281374, -123.1197"
"49.279931, -123.112"
"49.279635, -123.0997"
"49.210483, -123.1158"
"49.277007, -123.123204"
"49.28006, -123.1105"
"49.224892, -123.117143"
""
"49.262663, -123.102385"
"49.262352, -123.1"
"49.270913, -123.098821"
"49.262428, -123.101419"
"49.281801, -123.087695"
"49.281801, -123.087695"
"49.281801, -123.087695"
"49.281801, -123.087695"
"49.281801, -123.087695"
"49.264005, -123.104217"
"49.263875, -123.101615"
"49.263048, -123.098153"
"49.244555, -123.1209"
""
"49.27032, -123.10939"
"49.285762, -123.123947"
"49.279993, -123.113948"
"49.27978, -123.114694"
"49.279724, -123.110671"
"49.282184, -123.105339"
"49.281865, -123.119083"
"49.274122, -123.12682"
"49.271726, -123.095135"
"49.285762, -123.123947"
"49.27978, -123.114694"
""
"49.269553, -123.107758"
"49.287317, -123.122758"
"49.243316, -123.061259"
""
"49.27062, -123.099713"
"49.277218, -123.128625"
"49.279698, -123.115556"
""
"49.279756, -123.103282"
"49.278296, -123.098962"
"49.278969, -123.101335"
"49.279698, -123.115556"
"49.233467, -123.116041"
"49.27415, -123.130769"
"49.239464, -123.117951"
"49.262386, -123.097582"
"49.280868, -123.10013"
""
"49.252076, -123.065966"
"49.27861, -123.124837"
"49.27861, -123.124837"
"49.281344, -123.119628"
""
"49.281344, -123.119628"
"49.281344, -123.119628"
"49.27861, -123.124837"
"49.27861, -123.124837"
"49.27637, -123.13126"
"49.279698, -123.115556"
"49.279069, -123.114573"
"49.281344, -123.119628"
"49.281384, -123.119"
"49.26117, -123.15252"
"49.281384, -123.119"
""
""
"49.281344, -123.119628"
"49.277859, -123.148577"
"49.279993, -123.113948"
"49.282484, -123.113689"
"49.285762, -123.123947"
""
"49.279698, -123.115556"
""
"49.261857, -123.10143"
"49.263244, -123.101441"
"49.261316, -123.113936"
"49.282879, -123.120461"
"49.279069, -123.114573"
""
"49.272845, -123.09964"
"49.281065, -123.088927"
"49.260162, -123.114618"
"49.262801, -123.150744"
"49.279663, -123.114234"
"49.28557, -123.11287"
"49.285762, -123.123947"
"49.285591, -123.123827"
"49.285797, -123.115822"
"49.278095, -123.130059"
"49.270886, -123.103057"
"49.26412, -123.152699"
"49.279756, -123.103282"
"49.257072, -123.089991"
"49.270469, -123.135911"
"49.261897, -123.076442"
""
"49.27197, -123.106345"
"49.27729, -123.12829"
"49.279993, -123.113948"
"49.279698, -123.115556"
"49.209824, -123.1405"
"49.285762, -123.123947"
"49.239464, -123.117951"
"49.239464, -123.117951"
"49.281384, -123.119"
""
"49.281384, -123.119"
"49.262386, -123.097582"
""
"49.279663, -123.114234"
""
""
""
"49.262386, -123.097582"
"49.281596, -123.112298"
""
""
""
"49.26117, -123.15252"
"49.282597, -123.1181"
"49.279677, -123.119869"
"49.281384, -123.119"
""
"49.281384, -123.119"
""
"49.26117, -123.15252"
"49.281384, -123.119"
"49.250555, -123.090554"
"49.281384, -123.119"
"49.282597, -123.1181"
"49.280222, -123.11287"
"49.20956, -123.11664"
"49.26645, -123.14559"
""
"49.282597, -123.1181"
""
""
"49.286828, -123.1178"
"49.261439, -123.114522"
"49.283351, -123.104296"
"49.291012, -123.143036"
""
"49.234639, -123.096898"
"49.282713, -123.1181"
"49.280087, -123.113307"
"49.261911, -123.138913"
"49.273265, -123.119147"
"49.273631, -123.116637"
"49.288723, -123.123528"
"49.284826, -123.115651"
"49.297138, -123.134314"
"49.301084, -123.132011"
"49.27292, -123.12609"
"49.299245, -123.120851"
"49.29924, -123.120902"
"49.299862, -123.118001"
"49.299969, -123.117887"
""
"49.301409, -123.156609"
"49.258796, -123.074643"
"49.25976, -123.141344"
"49.276484, -123.143789"
"49.278127, -123.144964"
"49.285715, -123.122389"
"49.280592, -123.124017"
"49.239068, -123.134604"
"49.239145, -123.129578"
"49.284136, -123.042774"
"49.298222, -123.119053"
