Coordinates,Count
"49.2496605526923, -123.073718062785",1
"49.2860979713168, -123.138488816081",1
"49.288518979742, -123.141154954014",1
"49.2566046602239, -123.088004859079",1
"49.2514305065242, -123.127087458671",4
"49.2766900753703, -123.127467427849",3
"49.2527005237101, -123.099693085977",1
"49.2575359075541, -123.114606461393",2
"49.2824582001632, -123.115650043759",7
"49.2520609276664, -123.16128136883",1
"49.2834021472042, -123.103204333663",1
"49.2798047784404, -123.082392741933",10
"49.2747033816617, -123.131305878489",5
"49.2820830188499, -123.103168292659",4
"49.282084731663, -123.103264819522",4
"49.2806046645584, -123.098124877756",2
"49.2650065447977, -123.093858199281",1
"49.2484427385385, -123.101452972537",4
"49.2825435528569, -123.127534667843",2
"49.2683298283285, -123.149535250789",2
"49.2678080476036, -123.149233053405",1
"49.2678130507022, -123.149537812738",1
"49.2886577857153, -123.123309683031",3
"49.2797599663239, -123.100775927625",5
"49.2827156509953, -123.108077348112",4
"49.2871269680355, -123.134681127658",2
"49.2320576220718, -123.09017840775",3
"49.2636042631394, -123.120962310385",2
"49.2644495198963, -123.152100589852",1
"49.2469192126175, -123.068423344484",12
"49.2779000467711, -123.099336345055",8
"49.2610160596369, -123.070078520672",10
"49.2813884408387, -123.086566076034",5
"49.2632356022089, -123.10534961474",4
"49.2436454017668, -123.061251171236",7
"49.2899924877426, -123.138057076679",1
"49.26351652409, -123.152540202155",5
"49.2232573345402, -123.086410146356",1
"49.2633281343541, -123.141698774513",2
"49.2640500878249, -123.20672187011",1
"49.2369386468875, -123.065834213042",6
"49.2856804919193, -123.140015232402",5
"49.2135373147209, -123.077515775773",1
"49.2609134197278, -123.139089279211",2
"49.2719495451099, -123.100991872642",1
"49.2798683147543, -123.122691068736",2
"49.2562577370556, -123.184734453488",16
"49.2833219794763, -123.106927116049",3
"49.2634608743123, -123.10207702849",8
"49.2686153487607, -123.144354869045",2
"49.2886529155272, -123.140107259289",7
"49.2662883218501, -123.108384781759",2
"49.2342497695104, -123.090149870229",4
"49.2488004287067, -123.090627502288",2
"49.2357753702681, -123.038968313998",4
"49.2777877740761, -123.067276510923",1
"49.245819170732, -123.089827136563",3
"49.2260283114493, -123.091180592676",1
"49.2829731779897, -123.101567958051",1
"49.2814651657004, -123.062966468181",2
"49.2783766726236, -123.123752028758",16
"49.2601896006064, -123.069403250896",3
"49.278704737257, -123.093382812664",2
"49.2648106982498, -123.099296335612",6
"49.2626699474974, -123.077202530128",2
"49.2756200879624, -123.076879783096",3
"49.2845430575863, -123.064861718714",3
"49.2645251077356, -123.174770296609",9
"49.2632248193756, -123.135248245069",11
"49.2441623784242, -123.100914968264",1
"49.2805050839042, -123.092861606758",2
"49.2850562638002, -123.059939079045",4
"49.2828181068245, -123.110633359701",10
"49.2836998624147, -123.074255453106",2
"49.2837319283073, -123.103485938782",2
"49.287713258562, -123.139828030016",3
"49.224642790281, -123.090411847768",5
"49.2880848627111, -123.137083910956",5
"49.2662186965211, -123.070049848204",2
"49.2816029165353, -123.098290602624",2
"49.2831501577385, -123.102728344713",3
"49.276402101267, -123.070947341175",3
"49.2808973964342, -123.093055660298",11
"49.2783611565134, -123.100244054271",20
"49.2769365276204, -123.127073485971",3
"49.2770468498011, -123.12695417243",3
"49.2178492470182, -123.101519969472",1
"49.2074746785773, -123.106270068288",1
"49.2769817737522, -123.075026781497",1
"49.2736811492077, -123.197651361757",1
"49.280174768946, -123.102119384667",12
"49.2627551979808, -123.087461265062",7
"49.2675988956242, -123.099589326559",2
"49.2816592821681, -123.100711970863",8
"49.231292612726, -123.156073949042",1
"49.264872134868, -123.078246487594",2
"49.2838163618496, -123.127387398985",1
"49.2458229252085, -123.100864108034",5
"49.2562902994052, -123.098001168088",1
"49.2063625594461, -123.140185548041",2
"49.2817107750297, -123.083122215104",6
"49.2814565507806, -123.090363155734",3
"49.2828694090119, -123.075244190451",6
"49.2842810427288, -123.096818325025",2
"49.278494391972, -123.108040158954",5
"49.2850832726443, -123.061891255247",4
"49.2799668429544, -123.10017999277",5
"49.285352462884, -123.131763614422",1
"49.2631349927427, -123.138167975881",6
"49.2632730761235, -123.138162176366",6
"49.2644834088953, -123.07011777921",13
"49.2828379421579, -123.071695895589",2
"49.2425735695798, -123.170602215618",1
"49.2425756133839, -123.170740984431",1
"49.2385712004607, -123.155702542889",4
"49.2638895959587, -123.142868530753",6
"49.2814915933284, -123.092098294359",2
"49.2776304520717, -123.122958164539",1
"49.2466446556559, -123.100835567793",4
"49.2684523995195, -123.072604344277",1
"49.2556994492871, -123.114709895149",2
"49.2346915461001, -123.065877807457",2
"49.2353230677901, -123.065066199763",1
"49.2877291301842, -123.13125854967",1
"49.282495603354, -123.073245586998",2
"49.271235881876, -123.076710882219",1
"49.2796913690262, -123.097515603473",10
"49.2645865814618, -123.090388755279",1
"49.2778959586294, -123.098637880896",1
"49.2827384020125, -123.061232806139",1
"49.2827390754116, -123.060809308942",1
"49.2119303276452, -123.091458458028",3
"49.2120612215483, -123.091454044915",3
"49.2678450085021, -123.047246251993",1
"49.2656952780527, -123.123455495968",3
"49.2585849950526, -123.100784605668",8
"49.2329881620082, -123.077994855002",1
"49.241290855146, -123.065669311956",4
"49.2679295917129, -123.156918257845",1
"49.263980782002, -123.144249988032",2
"49.2619245557507, -123.079346032456",5
"49.2816985319883, -123.104585835623",2
"49.2836478400216, -123.089737964841",1
"49.2841543376315, -123.061898054057",1
"49.2634119915195, -123.165374341327",1
"49.2874840517437, -123.121166262395",1
"49.2875469702, -123.121125987825",1
"49.2120865784348, -123.140000638142",1
"49.212400993103, -123.139983841235",1
"49.234309061459, -123.156494832905",1
"49.2470848477577, -123.089811859104",2
"49.283381966678, -123.10503602714",3
"49.282857148505, -123.095840128169",2
"49.2826942775475, -123.087512197902",1
"49.2608575631977, -123.101473347686",8
"49.2805023178923, -123.027908658325",1
"49.2791980416036, -123.098918068993",1
"49.2828551579809, -123.095626106028",1
"49.2631915080737, -123.211702141455",1
"49.2776631308496, -123.126022971536",2
"49.2722683429888, -123.15217153218",1
"49.2614118517641, -123.186242484914",4
"49.2812880157795, -123.120579692063",3
"49.2632116651603, -123.104438948634",6
"49.2573498519126, -123.089676356577",2
"49.267891568435, -123.15444184226",1
"49.2813329720438, -123.127812119325",2
"49.2314887163302, -123.161886188383",1
"49.2621533814524, -123.08810218012",3
"49.2564055813658, -123.100886467345",3
"49.2562854815099, -123.10090216397",3
"49.2258240852473, -123.066207682098",1
"49.2798678359978, -123.086513876381",1
"49.2498429033686, -123.074727046318",3
"49.2551890860196, -123.115496942466",4
"49.2349044075235, -123.160322813187",1
"49.2447214613293, -123.100881759142",1
"49.2498019371629, -123.168059887427",2
"49.2498038999626, -123.168256387455",2
"49.2088736845801, -123.144572587955",1
"49.2644475357785, -123.152309368161",1
"49.2652821099315, -123.152351137919",1
"49.2661398123622, -123.1515572506",1
"49.2664375347979, -123.143549164937",1
"49.2664383729298, -123.142457713001",1
"49.2664473973045, -123.142834816912",1
"49.2664543296392, -123.143729416058",1
"49.2664566826245, -123.144367361407",1
"49.2664777479702, -123.145401477233",1
"49.2664843166563, -123.145013229542",1
"49.266499022818, -123.146752371707",1
"49.2665007786142, -123.146871357345",1
"49.2665027789873, -123.147342020529",1
"49.2665521982184, -123.149519995705",1
"49.266682097949, -123.141337072278",1
"49.2329336430889, -123.034953638269",1
"49.2661675892471, -123.099890423892",1
"49.2390913027141, -123.03057994821",1
"49.255805122146, -123.100929343094",3
"49.25571018748, -123.075408828663",1
"49.2695360177106, -123.146043136805",1
"49.2563565720627, -123.114678586853",4
"49.2833732923605, -123.096066754088",4
"49.2621745165116, -123.091497961683",1
"49.2544365597982, -123.114697431721",1
"49.2546187104215, -123.114690982698",1
"49.2827476229322, -123.090012952593",5
"49.2630273568974, -123.071683409146",1
"49.2649751529423, -123.10787986934",3
"49.2635872409021, -123.108309208116",1
"49.2899636860931, -123.128048712434",1
"49.2650200104579, -123.110339101417",1
"49.2773280782388, -123.1253448012",1
"49.2824485109496, -123.071162496601",3
"49.2769896490884, -123.0756406705",2
"49.2396665593857, -123.0649820043",1
"49.2868450626462, -123.141813623898",3
"49.2502844993794, -123.109610252876",1
"49.2569617169907, -123.153311090571",9
"49.2826214942974, -123.116923570716",2
"49.2768002107925, -123.030082207942",1
"49.2797980657964, -123.129745294099",1
"49.2634177839642, -123.147277884349",5
"49.2683533796158, -123.070115015731",2
"49.2680569673882, -123.165766694771",1
"49.253136688227, -123.024260936172",1
"49.2239166836104, -123.066193075667",1
"49.2761224751169, -123.128332411733",1
"49.2808106555665, -123.088228453516",2
"49.2775167081276, -123.126244636556",3
"49.2812763281821, -123.12283700687",2
"49.2722615836291, -123.069983098046",5
"49.2462517798198, -123.066895284469",7
"49.2798833507362, -123.12147734521",2
"49.2797860658311, -123.121624634306",5
"49.2859774894359, -123.136150313101",2
"49.2801583426098, -123.099261286518",3
"49.2404355223991, -123.054214320876",8
"49.2814216922324, -123.047671446583",4
"49.2814270854333, -123.049750524397",3
"49.2831186808142, -123.103908541835",14
"49.2763049041214, -123.058118117824",1
"49.2620083812989, -123.070908562169",5
"49.2627900745818, -123.024502566571",2
"49.2170454030395, -123.1410479955",1
"49.2801688300146, -123.101805766363",5
"49.2612501092077, -123.098653959254",2
"49.2614033110779, -123.098638197895",2
"49.2815502501307, -123.07074181359",5
"49.2816280147567, -123.078020276521",11
"49.2742609516477, -123.10049403481",1
"49.2631524001404, -123.087721201956",1
"49.2635337253973, -123.208504712024",8
"49.2568142864395, -123.090815593502",9
"49.2631105365325, -123.101445489038",13
"49.2819432777678, -123.071281117129",1
"49.2677056043691, -123.163996396417",1
"49.2525841967004, -123.081615485582",13
"49.2832406506868, -123.088202043614",3
"49.2832509375141, -123.088852578231",3
"49.2813690040881, -123.085500451399",8
"49.2814170032267, -123.055062852429",1
"49.255194674407, -123.100883834544",6
"49.2814182708039, -123.05523403597",3
"49.2129823342447, -123.139423792012",1
"49.2805251098478, -123.094225013391",1
"49.2641435367076, -123.112094910938",1
"49.2698079482985, -123.034147313212",1
"49.2797380158451, -123.078979539733",7
"49.2571944480356, -123.069490908335",4
"49.2576540964722, -123.189897252667",8
"49.263195752084, -123.133300967199",1
"49.2125338644683, -123.14078895863",1
"49.253712909692, -123.082663377805",1
"49.2808956087941, -123.132624938645",2
"49.2644596757675, -123.174758945925",8
"49.2338683707429, -123.090161525165",2
"49.2237061153579, -123.091198582051",1
"49.2685434136465, -123.069277439376",2
"49.2642972175113, -123.165519874607",1
"49.258635026208, -123.099456175952",2
"49.2541632763824, -123.067209109513",1
"49.2756052308233, -123.069145243851",5
"49.2834528027423, -123.101586130798",2
"49.2834558591427, -123.101690624371",2
"49.2834601726164, -123.101899621598",2
"49.2626699470022, -123.102753310221",4
"49.2522618972483, -123.127839355158",2
"49.2204493983864, -123.065459337399",3
"49.2527903415678, -123.068425371194",1
"49.2644943744872, -123.17758204574",2
"49.2595541985044, -123.137790189683",1
"49.2626008684017, -123.101414412895",10
"49.2817663197563, -123.107612858382",16
"49.2808853143211, -123.092430025105",5
"49.2800911136038, -123.098143905205",9
"49.285761972971, -123.123946534342",1
"49.2679059725916, -123.099224718304",2
"49.2641707427452, -123.155865102343",1
"49.2820562109229, -123.101094747191",1
"49.2741694745862, -123.06589456619",22
"49.2816491136681, -123.106943161096",12
"49.2579871186099, -123.167145727622",1
"49.2632915271376, -123.1861365787",4
"49.2842646341272, -123.122752096026",1
"49.2832914222406, -123.111384238614",4
"49.2685596674563, -123.14104908217",2
"49.263764404829, -123.18697257652",1
"49.24501800206, -123.065467461877",7
"49.2679362362496, -123.157330516314",14
"49.2637775341348, -123.179406566818",2
"49.2784191869166, -123.130916121818",2
"49.2528926687961, -123.101277609922",1
"49.2829121816271, -123.109163957819",1
"49.2684059427313, -123.153745854157",4
"49.2396012880128, -123.053921160179",3
"49.2347892769407, -123.152264781651",8
"49.2611577178706, -123.076104765389",1
"49.2621757370377, -123.089607803367",5
"49.281422475552, -123.04836236321",2
"49.280140453455, -123.078699340929",1
"49.2797579796575, -123.100671279106",5
"49.2645021811005, -123.155021949836",2
"49.2326731499632, -123.033803748393",1
"49.281719894324, -123.109500502526",18
"49.2648753943279, -123.10244623613",1
"49.2576086575365, -123.185481051891",5
"49.2678772158668, -123.153405913084",9
"49.2698944160615, -123.074433283748",1
"49.2688089547036, -123.184695013407",1
"49.2862322912665, -123.134394445688",2
"49.2739172224462, -123.065324396965",3
"49.2655946060146, -123.1394632201",1
"49.2809733773848, -123.096371482358",4
"49.2399199722868, -123.090006365542",3
"49.2917128019782, -123.133090526223",1
"49.238866426685, -123.024053498044",1
"49.2079021916351, -123.140158104053",3
"49.261388890711, -123.099802107735",1
"49.2434182143318, -123.101742436657",4
"49.243506817864, -123.101741931739",4
"49.243833793611, -123.101732986113",4
"49.2328973958259, -123.070469967742",1
"49.2754391202851, -123.076883571219",2
"49.285879907759, -123.116226532396",1
"49.2312269773209, -123.090196180655",1
"49.2809545140616, -123.07215852876",3
"49.2372365833345, -123.16166266057",1
"49.278926484446, -123.126846874881",2
"49.226252117959, -123.066109779382",4
"49.2264005334397, -123.066105170386",4
"49.2268592790013, -123.066096140816",4
"49.227011291782, -123.066092909968",4
"49.2479198815626, -123.09052954385",3
"49.2633675274978, -123.112087476675",5
"49.2689052997172, -123.103172414738",1
"49.2641070159134, -123.101415341552",16
"49.2641752183394, -123.101414450466",16
"49.276599671296, -123.13036405764",2
"49.2725908915162, -123.056150735232",6
"49.2813166396078, -123.105123446373",7
"49.2797498942903, -123.137199797362",1
"49.2779000467711, -123.099336345055",3
"49.2728378868286, -123.07636189203",2
"49.2459959653775, -123.068262275673",1
"49.2806165582352, -123.098724414166",13
"49.2682717556235, -123.069282557382",2
"49.2583376496217, -123.092092695332",1
"49.2243628736521, -123.10127738447",1
"49.2718995299736, -123.069978475559",3
"49.2803680811198, -123.133939687726",2
"49.2630892206526, -123.178994774485",2
"49.2800468383026, -123.134433623676",2
"49.2810578279319, -123.101196624866",9
"49.2719987237631, -123.147105939161",1
"49.2737679055149, -123.081028508704",11
"49.2633556514795, -123.102702875782",3
"49.2808660785492, -123.056840203428",10
"49.2813359870419, -123.054237899478",4
"49.2808637001699, -123.026802391929",5
"49.2112711728343, -123.092820669083",1
"49.2579140798394, -123.095203936227",1
"49.2814657688671, -123.064288780016",1
"49.2774395794317, -123.095314791803",2
"49.2769345947564, -123.117705289203",1
"49.2370428001078, -123.157619264281",1
"49.2842418340473, -123.100203805858",2
"49.2334548093402, -123.033837935573",1
"49.264332035043, -123.168890855232",9
"49.2696797327202, -123.180501610085",1
"49.2815652250219, -123.075065083702",5
"49.2815912351395, -123.074487350503",5
"49.2816110056048, -123.075885056962",5
"49.2833680288354, -123.109393614714",8
"49.2834456558403, -123.109584913311",8
"49.2638751598276, -123.101615181596",1
"49.259180054611, -123.139153633558",1
"49.2489244391411, -123.089667828573",3
"49.2616392605637, -123.07142358724",1
"49.2629459727502, -123.117778739981",2
"49.2782828422336, -123.098436546556",4
"49.2680772954798, -123.107702685653",1
"49.2829531563975, -123.114106210162",3
"49.2830518212899, -123.113954486281",3
"49.2543342913654, -123.11579037466",1
"49.2621747183485, -123.090728711633",8
"49.262708426998, -123.127531910463",4
"49.2825664902958, -123.079577034515",1
"49.2623381552718, -123.054268726727",1
"49.2792042933301, -123.123692380448",16
"49.2815534842954, -123.071333752542",3
"49.2323815522601, -123.065155658488",4
"49.2833929266507, -123.111530493518",4
"49.2834445751005, -123.111606937001",4
"49.2685067824924, -123.102508738718",6
"49.2681152861765, -123.168975150883",4
"49.2791789815603, -123.076563232018",3
"49.2726887137244, -123.07695373748",9
"49.2666856717175, -123.10362430137",5
"49.2800786537174, -123.074566825155",1
"49.2673253356407, -123.140089003263",2
"49.2803561529105, -123.108259842052",1
"49.2807899603082, -123.086511845829",13
"49.2626883692422, -123.125749626558",1
"49.2901538447967, -123.131610712209",3
"49.2769429677629, -123.071727550756",5
"49.2763970424524, -123.070394217404",2
"49.2529043927731, -123.079666403311",3
"49.2497174505015, -123.115832149228",3
"49.2814130517439, -123.027837413273",4
"49.2638295198654, -123.135442213367",2
"49.263832417453, -123.135655937429",2
"49.2791530365379, -123.070754086112",1
"49.2603761343602, -123.098548836854",9
"49.2604450232988, -123.099185845341",9
"49.2575375259592, -123.114788421625",17
"49.2812600168649, -123.080764087554",7
"49.2682777167854, -123.146013415447",2
"49.2804878780491, -123.097638882854",12
"49.2638127547743, -123.169673890724",2
"49.2780653820574, -123.112455133598",1
"49.2783570758036, -123.11990071541",1
"49.284040941915, -123.115195158931",3
"49.2538271741092, -123.082891972808",3
"49.2364906952379, -123.065035506264",3
"49.2380959391397, -123.065786914268",6
"49.2584148242978, -123.069483248836",3
"49.2636039273644, -123.110606644321",1
"49.2833501065361, -123.094743962442",3
"49.2786587178055, -123.124537914966",13
"49.2787600673633, -123.124395182288",13
"49.2802168307779, -123.10478151629",10
"49.2831203169849, -123.116554378883",1
"49.2832147694177, -123.116533481387",1
"49.2186345368631, -123.101517485698",3
"49.2264988132386, -123.101210331457",5
"49.2634745977996, -123.205599542797",2
"49.2702684976855, -123.069286741857",1
"49.2816846385194, -123.108847495051",15
"49.2622885638031, -123.10142464462",21
"49.2802846004458, -123.079958273302",1
"49.2525076166448, -123.087388605741",1
"49.2520435036457, -123.079052906881",4
"49.2826469269826, -123.131663703761",1
"49.2712397523783, -123.077112430512",11
"49.2836730371383, -123.096165787794",3
"49.2791552656229, -123.074756942014",1
"49.2718050920546, -123.168450125477",1
"49.2567125334026, -123.090608290489",4
"49.2818766290711, -123.066816027082",1
"49.2781753850943, -123.092143663124",1
"49.2798531725972, -123.085682578035",1
"49.2460302715674, -123.100856973523",1
"49.2578896395744, -123.033210666007",2
"49.2317684014432, -123.090208100036",2
"49.2517288322861, -123.114882052939",2
"49.2679279354427, -123.156813097022",1
"49.2633478685155, -123.096776196169",4
"49.2634239934687, -123.147698486799",6
"49.2814151422834, -123.088096449824",9
"49.2745016168382, -123.12495681554",3
"49.2577371592792, -123.10082681567",2
"49.276850832775, -123.126053059247",5
"49.2797561341366, -123.103282272368",1
"49.27667086842, -123.124014257164",1
"49.2580477292715, -123.075738650494",1
"49.2496144790004, -123.100615237377",1
"49.2547996818477, -123.086513455058",3
"49.2699609865352, -123.044685836617",2
"49.2472608686757, -123.100779828799",10
"49.2690766342228, -123.099882935603",11
"49.2663744331178, -123.028703282317",1
"49.2643314108242, -123.168702411505",6
"49.2561481898922, -123.087861812143",1
"49.2763201300383, -123.126871041905",2
"49.2631957288041, -123.093436876868",1
"49.271427377053, -123.170825784797",2
"49.2456914271848, -123.184824184133",1
"49.2662662917039, -123.185479633732",1
"49.2736091294491, -123.069260915126",3
"49.2737026793356, -123.069261046103",3
"49.2634994179221, -123.104104366552",2
"49.2318037656518, -123.064181648908",2
"49.2803748340774, -123.085762003917",1
"49.280866821389, -123.057157829527",4
"49.2380913682379, -123.032477940895",3
"49.2304768731848, -123.065165955073",1
"49.2333223524771, -123.099776446425",2
"49.2801611168675, -123.122249771326",1
"49.2821149372322, -123.116186031881",1
"49.2822635950108, -123.115958698079",1
"49.2823636009294, -123.115799695734",1
"49.2803274194002, -123.11888800491",2
"49.2828666164859, -123.096364020499",5
"49.2618608297756, -123.091346196239",1
"49.2657351428647, -123.072181362038",1
"49.2689394326141, -123.098876457661",1
"49.2190880619162, -123.040183228366",1
"49.2633633124211, -123.113356089514",5
"49.2832926780171, -123.091806172857",1
"49.2627541730095, -123.182270555453",1
"49.2739660142675, -123.082353542141",2
"49.2868700441287, -123.126740274084",1
"49.280874962345, -123.055233566688",3
"49.2784727360769, -123.023893854534",1
"49.2801628817922, -123.101491515653",1
"49.2594200892822, -123.046273363642",6
"49.2680405525345, -123.100211665511",4
"49.2765652097968, -123.1264882463",2
"49.2683736197443, -123.152281122787",1
"49.2594910457826, -123.100723959039",8
"49.2808894492459, -123.091903567414",11
"49.2626187252663, -123.070553952928",3
"49.2206257107593, -123.065466313016",3
"49.2541355170226, -123.076209278235",1
"49.2618273099909, -123.094229349785",4
"49.263194730225, -123.10362636512",6
"49.2568420783321, -123.100116554027",1
"49.2456428250418, -123.06687205248",8
"49.2607487792365, -123.072622344331",1
"49.2723779608299, -123.068819258161",2
"49.2281186619808, -123.066610416206",1
"49.2339539685807, -123.155999873957",2
"49.2627292250546, -123.104459041871",6
"49.2675879466245, -123.102187494399",2
"49.2657959759255, -123.103321156531",2
"49.2612719271377, -123.152781609974",3
"49.2192066367229, -123.149397140833",1
"49.2576971781966, -123.096709447302",1
"49.2576997388319, -123.096863359947",1
"49.2808181612175, -123.088635036761",8
"49.2082396933986, -123.070686821759",1
"49.2632870443168, -123.16374118265",1
"49.276498380467, -123.124671140135",4
"49.243124760993, -123.062587311832",1
"49.2157720841846, -123.07991857692",1
"49.2806239217777, -123.076509550258",2
"49.2350958845876, -123.06589003511",4
"49.2602481946042, -123.139113508999",1
"49.2833826989452, -123.096662839923",2
"49.278295886281, -123.09896188295",6
"49.2627483383062, -123.086428376362",2
"49.2682591758921, -123.089710601606",1
"49.2809855265808, -123.097041791734",5
"49.2852792572927, -123.117257230302",3
"49.268139064994, -123.110503928229",1
"49.252170547268, -123.068465038073",1
"49.2622472160039, -123.037446500259",1
"49.2778744436412, -123.097406102211",1
"49.2785092309632, -123.0818464903",1
"49.2362017369698, -123.064625777609",1
"49.260161041436, -123.138280548975",1
"49.2563070425233, -123.10173362114",2
"49.2632008004566, -123.157369957947",2
"49.2640390217365, -123.106151447753",3
"49.2640442317794, -123.106354881129",3
"49.2554139193132, -123.099153845108",1
"49.2404523291771, -123.076104913034",1
"49.2343651320528, -123.131730720588",1
"49.2599663487159, -123.089669648841",1
"49.2645782720583, -123.128576736636",1
"49.2499050985499, -123.037688621641",1
"49.2631800931769, -123.102296004021",9
"49.239496598436, -123.053695744199",2
"49.2827680807421, -123.100050271513",8
"49.2632690233204, -123.137789702023",3
"49.2884030459896, -123.054308482021",1
"49.2561784618308, -123.114692603906",14
"49.2621504171543, -123.13820974459",2
"49.2682997535931, -123.146929907785",3
"49.2620384122802, -123.086952274371",2
"49.2528209795507, -123.080716898799",1
"49.2339419276532, -123.111660083169",1
"49.2578495768843, -123.030049071158",2
"49.2755574437648, -123.101259157045",1
"49.2503459582114, -123.053962335431",1
"49.2422644693439, -123.083183936807",1
"49.2816371919488, -123.134753033264",1
"49.2291258362151, -123.058766171233",1
"49.2253076902407, -123.09773881504",1
"49.2581803308064, -123.138333464775",1
"49.2786909376363, -123.092646551465",1
"49.2629644858102, -123.11902429183",4
"49.2215126095245, -123.084356858388",1
"49.2643446524258, -123.169476428139",14
"49.2620238523443, -123.072775882408",2
"49.2622493961339, -123.041965223767",1
"49.2622463526662, -123.037306844374",2
"49.2823692619638, -123.090745020114",2
"49.2666012803953, -123.067171666161",1
"49.2502380935373, -123.075579936364",16
"49.2353189616342, -123.133369210572",1
"49.2644765789471, -123.101318455423",4
"49.2393238248872, -123.06499404237",3
"49.272272035815, -123.152372662628",1
"49.2704680946899, -123.155264270804",1
"49.2707337297284, -123.085592840471",3
"49.2720673697024, -123.056154265126",1
"49.2713981552337, -123.17112123992",2
"49.2763996563199, -123.070533091432",8
"49.2559851857023, -123.087520571285",9
"49.2529262104459, -123.080941485336",9
"49.2809137891295, -123.068877773085",2
"49.2507344363896, -123.062241051656",1
"49.2693829197768, -123.074395248234",1
"49.2658324809275, -123.07881516218",1
"49.2661928395112, -123.081023319997",1
"49.2343271354474, -123.157742988417",1
"49.2769962816872, -123.076210838062",1
"49.2638732409231, -123.101352241632",9
"49.2764165481378, -123.126716484673",2
"49.2357109220168, -123.155872887211",4
"49.2232736430953, -123.087639811266",1
"49.2636035079477, -123.109175003651",5
"49.2810965362448, -123.103087051533",10
"49.2782812229059, -123.09823594982",2
"49.2622781397255, -123.100641283334",4
"49.2685656213442, -123.106388132774",5
"49.2675828282207, -123.103561644054",9
"49.280934004952, -123.098103793325",5
"49.2635733081605, -123.211477139682",1
"49.2737105323311, -123.079868420562",7
"49.2704458967804, -123.148613535992",1
"49.2524652749554, -123.115581859024",1
"49.2792885389024, -123.130116651097",8
"49.2498562114594, -123.090588143711",1
"49.2496336974068, -123.089676134585",3
"49.262661703691, -123.03800483475",1
"49.2494507506702, -123.054390055507",1
"49.2667252924497, -123.077870496173",5
"49.2255886436447, -123.090387341406",1
"49.2680883897599, -123.108324710273",2
"49.2818039979429, -123.132858149311",1
"49.2582219401212, -123.10078357781",7
"49.2696863317415, -123.085114553913",1
"49.28258219862, -123.101725952589",4
"49.2559566037745, -123.076161055992",1
"49.2647634549438, -123.09625687666",1
"49.2804942317649, -123.09183104784",6
"49.2710460418272, -123.154461353202",1
"49.281760140604, -123.085160424661",8
"49.2834530188639, -123.105717401085",2
"49.2612282362014, -123.076925937969",1
"49.2820485078726, -123.100675969178",2
"49.2621297127827, -123.139047245424",2
"49.2797102016158, -123.078757158705",3
"49.2322694391736, -123.061590613103",1
"49.2826967332448, -123.087666448912",1
"49.2368724804464, -123.168377002007",1
"49.2174841754713, -123.132194712746",1
"49.2617954554268, -123.091988887965",1
"49.2678080476036, -123.149233053405",1
"49.2422632519669, -123.083000536911",1
"49.2839954319777, -123.115270679503",4
"49.2359328319582, -123.090084262231",1
"49.2817304325616, -123.1148240086",1
"49.2817781772378, -123.114753308642",1
"49.2820232253207, -123.114379870566",1
"49.2677466572134, -123.169782775995",3
"49.2780556236339, -123.086077844554",1
"49.2762030120669, -123.100494694477",1
"49.2215367894149, -123.085724536525",1
"49.2817718374702, -123.08578852965",9
"49.2358708125614, -123.108663270227",1
"49.2812567072261, -123.080350358947",2
"49.2662805466432, -123.108608676718",2
"49.2623069105943, -123.033295655919",1
"49.2688084482993, -123.043774311415",1
"49.2640275719352, -123.205729542677",3
"49.2640309153807, -123.205872501968",3
"49.2786518897523, -123.08989032488",1
"49.2279623165482, -123.091093639683",2
"49.2655965991148, -123.139674901443",2
"49.2534558301733, -123.089526593867",3
"49.2660528509193, -123.138901325296",3
"49.2680905107991, -123.069283540724",1
"49.2680120113548, -123.1042172707",1
"49.2627787176591, -123.028740491958",1
"49.250142126024, -123.065435020711",1
"49.2502494986191, -123.107639755888",1
"49.2632051814617, -123.104127951665",24
"49.262320360534, -123.053831213613",1
"49.2625302438041, -123.058799491404",2
"49.2638703889632, -123.171863605374",1
"49.2821163348912, -123.106306581068",11
"49.2823302863236, -123.111832655632",8
"49.2824344759922, -123.111982778401",8
"49.2587495643015, -123.095563486782",1
"49.2641163096921, -123.110487124264",2
"49.2631067887706, -123.206303107175",1
"49.2704934515628, -123.099275243597",1
"49.2426513455323, -123.10230015418",2
"49.2766547970456, -123.120569222084",1
"49.2512744726459, -123.026659277388",1
"49.2805956200237, -123.09127019421",2
"49.2190044397769, -123.035814342583",1
"49.2644799134699, -123.176741000202",4
"49.2790097287927, -123.084018957318",2
"49.262662566457, -123.038143667158",1
"49.262662520996, -123.038281124432",1
"49.2622379733383, -123.038256771106",1
"49.2759339653295, -123.060475416605",1
"49.2808980819249, -123.061057216102",2
"49.2635173870749, -123.107979308603",1
"49.2645980663478, -123.185497132033",5
"49.2805021982659, -123.027770477659",1
"49.2679092539239, -123.069289609995",5
"49.2638412743138, -123.059716651296",1
"49.2808683559446, -123.050049273376",3
"49.2615101798515, -123.054389041217",1
"49.280574734432, -123.073292721012",2
"49.2494768049883, -123.114981847647",1
"49.2063560190472, -123.130752520372",1
"49.2683119166271, -123.182867821504",1
"49.263558033054, -123.106373188624",3
"49.2552199899293, -123.090382493616",3
"49.2758028382889, -123.045566628088",2
"49.2791612731755, -123.075202430564",1
"49.277238468036, -123.10149046446",4
"49.2774444208448, -123.101009044549",4
