Bikeway_Type,Year of Construction,Geom
Protected Bike Lanes,2004.0,"[-123.03835599548485, 49.206394494940106], [-123.03835594605509, 49.20639448686076], [-123.03833950270598, 49.206392167036526], [-123.03682355508535, 49.206178407669], [-123.03668641547787, 49.206136314652916]"
Protected Bike Lanes,2004.0,"[-123.0651748847264, 49.2072311906252], [-123.06422943355567, 49.20696271599421], [-123.0642293868669, 49.20696270792439], [-123.06321819807991, 49.206675569320964], [-123.0630743755089, 49.206635087269234], [-123.06289819060406, 49.20658730859215], [-123.06281787557047, 49.20656552791769], [-123.062559448468, 49.20649894558237], [-123.06229934399221, 49.20643531312976], [-123.06226026883216, 49.20642628943071], [-123.06218044453632, 49.20640785699595]"
Protected Bike Lanes,2006.0,"[-123.11740369043683, 49.284265984167575], [-123.11788971069332, 49.28457971055852]"
Protected Bike Lanes,2009.0,"[-123.045827628688, 49.258952195900356], [-123.04546087871185, 49.25904380409694], [-123.04503892420378, 49.25912014260083], [-123.04466915959989, 49.25913935239986], [-123.044282248962, 49.25913761324406]"
Painted Lanes,2016.0,"[-123.13492199280756, 49.27791911619118], [-123.1354328320829, 49.27758133405751]"
Painted Lanes,2003.0,"[-123.06907591876578, 49.26346636961095], [-123.06885533476986, 49.26337847420069], [-123.06868312334149, 49.2633098650271], [-123.06855600166182, 49.26325839620005], [-123.06826822604167, 49.26314305916231]"
Protected Bike Lanes,2006.0,"[-123.14210076057067, 49.290921314919736], [-123.14210080861791, 49.290921285176616], [-123.1426328438886, 49.29056919759397]"
Painted Lanes,2006.0,"[-123.20285743677435, 49.26826477076432], [-123.20316253526052, 49.268304136533565], [-123.20325477148302, 49.2683201054161]"
Protected Bike Lanes,2013.0,"[-123.10212970347048, 49.27714051860294], [-123.10213055146184, 49.27706380781785], [-123.10213129515688, 49.27698985414809]"
Protected Bike Lanes,2013.0,"[-123.10213129515688, 49.27698985414809], [-123.10213312410792, 49.2768076181788]"
Painted Lanes,2009.0,"[-123.12135044652868, 49.23372134945002], [-123.12160130382362, 49.23372987762514]"
Protected Bike Lanes,2009.0,"[-123.03395165072178, 49.26046865986167], [-123.03395763763649, 49.26066917389733], [-123.03375991846929, 49.260669986537046]"
Protected Bike Lanes,2003.0,"[-123.06143468233574, 49.26040160783959], [-123.06013584805092, 49.25988045025092]"
Painted Lanes,2009.0,"[-123.03383633540474, 49.24536984520085], [-123.03385971810278, 49.24476205564589], [-123.0339805517545, 49.244557623274446]"
Protected Bike Lanes,1990.0,"[-123.13568435803155, 49.27628666311113], [-123.13565385623477, 49.27624299130764], [-123.13560705685344, 49.27616750195571], [-123.13568960748852, 49.27600966093267], [-123.1357591205573, 49.27591250950854], [-123.13577847638773, 49.27588544902881], [-123.1357784818005, 49.2758854175393], [-123.13578749229231, 49.27583534602971], [-123.13578749770508, 49.27583531454019], [-123.1358175332192, 49.27565914085695], [-123.13581734126848, 49.27565882984906], [-123.13576258942318, 49.27557598014164], [-123.13575663770382, 49.27556737963835], [-123.1355907171023, 49.27546127741286], [-123.13516892218605, 49.27559188340881], [-123.13503451347995, 49.275633514678944], [-123.13503446674437, 49.27563351743211], [-123.13433742184571, 49.27518511199262], [-123.1342989948455, 49.275195088250385], [-123.1342400004256, 49.27521040634765], [-123.13400363627106, 49.27505708425142], [-123.1336338542139, 49.27481721770941], [-123.13361916239536, 49.2748076917031]"
Painted Lanes,2010.0,"[-123.18526709972119, 49.24189519461797], [-123.18526709138047, 49.24189516854514], [-123.18527097582893, 49.241421929675596], [-123.18527097569769, 49.24142189459434]"
Painted Lanes,2003.0,"[-123.18401601447859, 49.257912772891146], [-123.18511237242792, 49.257929164874575]"
