Bikeway_Type,Year of Construction,Geom
Painted Lanes,1997.0,"[-123.18326113692225, 49.23016355057369], [-123.18328341722145, 49.23016434458924], [-123.18335591670503, 49.23016773679202], [-123.18342819119013, 49.23017193888021], [-123.18350035605647, 49.23017695067095], [-123.18357242228922, 49.23018277034797], [-123.18357901476965, 49.23018337964527], [-123.18364435557027, 49.23018940246361], [-123.18371602021404, 49.23019692549269], [-123.18371607655202, 49.23019693169977], [-123.18378746130384, 49.23020527279903], [-123.18382309802057, 49.23020980278144]"
Protected Bike Lanes,2017.0,"[-123.15249256829426, 49.260514851079165], [-123.15250013333761, 49.26041999826377], [-123.15251446842845, 49.260054843829835]"
Protected Bike Lanes,2017.0,"[-123.15237402867392, 49.263819658060704], [-123.1523814910684, 49.26365954430781], [-123.15239350763247, 49.263313961330276]"
Protected Bike Lanes,1994.0,"[-123.04322797356144, 49.20563102765036], [-123.043228197248, 49.20563092591983], [-123.04337161292258, 49.20557180005556]"
Protected Bike Lanes,2003.0,"[-123.06614674928612, 49.262292019002665], [-123.06604330825702, 49.26225052571872], [-123.06589643445255, 49.262191632506195]"
Protected Bike Lanes,1994.0,"[-123.05096340100758, 49.20539505560676], [-123.05103148878966, 49.20547512325218], [-123.05112589183157, 49.20546617796206], [-123.05121825365032, 49.20545480477018], [-123.05130302132169, 49.205434622186914], [-123.05137805396726, 49.20541435301955], [-123.051455012684, 49.205395433139174], [-123.05154170871971, 49.20537893579352], [-123.05162829615129, 49.20536630640827], [-123.05171885339139, 49.205362488771094], [-123.05180737600243, 49.20535993131686], [-123.05190179058374, 49.20536366605514], [-123.05199995130899, 49.20537621262025], [-123.05208667641355, 49.205387594870906], [-123.05217714492993, 49.20540644056112], [-123.05225403117433, 49.20542718043828], [-123.05237066707934, 49.20546103358035], [-123.0524225291132, 49.205475219922086], [-123.05249872496118, 49.20548552720606], [-123.05257356109055, 49.20549394694619], [-123.05264409419712, 49.20550057043961], [-123.05270454289354, 49.20549865386092], [-123.05276929272496, 49.20549673618522], [-123.05282974543576, 49.205498596663645], [-123.05288012577859, 49.205503250263675], [-123.0529247349941, 49.205510784081156], [-123.05297376875399, 49.20552587100068], [-123.05301838502375, 49.2055399704447], [-123.05305576325435, 49.20555883980324], [-123.05309756524711, 49.205587059524426], [-123.05313643612963, 49.20562670280443], [-123.05320273365045, 49.20569547279983], [-123.05325462243748, 49.20573412056001], [-123.05329430404436, 49.20574612356973]"
Protected Bike Lanes,2016.0,"[-123.14552117848491, 49.270218837177026], [-123.14554681575474, 49.26977963233483]"
Protected Bike Lanes,1990.0,"[-123.173299131241, 49.216139286176315], [-123.17319048560283, 49.21615905974248], [-123.17317020053821, 49.21616311374538], [-123.17311355527146, 49.21617445445069], [-123.17309264346113, 49.216173624040536], [-123.17306554064511, 49.21617254743641], [-123.17298261806745, 49.21616125033387], [-123.17295216156006, 49.216156495156596], [-123.1729346897089, 49.21615375886372], [-123.17278648269132, 49.21615398964808], [-123.17183820186209, 49.21615252574123], [-123.17157663979053, 49.216151836018305], [-123.17141548118323, 49.2161484717747], [-123.1713151779651, 49.21614637805396], [-123.1711124668114, 49.21613829671209], [-123.17105415364813, 49.21613597594149], [-123.17105410969836, 49.21613597330799], [-123.17079356444707, 49.216120709745375], [-123.17037327035887, 49.21610183944118]"
Protected Bike Lanes,1990.0,"[-123.16823688763192, 49.21585349498518], [-123.16816657368835, 49.215853595573876], [-123.16810070273998, 49.21582885457414], [-123.16807505054699, 49.21578048108206], [-123.16805181820924, 49.21573666377297], [-123.16797535438333, 49.21565700121191], [-123.16781396962907, 49.215593992637565], [-123.16780369737364, 49.21558997677364], [-123.16748726756595, 49.21553062817253], [-123.16708990299075, 49.21543849915165], [-123.16708985764141, 49.21543848842291], [-123.16662850858818, 49.215317022277326], [-123.16573126621776, 49.21503331098476], [-123.1653496857133, 49.21487688650808], [-123.16510382266675, 49.21477609700046]"
Painted Lanes,2009.0,"[-123.03378025032568, 49.256949628604836], [-123.03378027675558, 49.256944054262775], [-123.03378361960854, 49.256429479326]"
Protected Bike Lanes,2009.0,"[-123.04153565843147, 49.289236661078014], [-123.04150371460808, 49.289218758686445], [-123.04136478839814, 49.28914236129955]"
Painted Lanes,1994.0,"[-123.11282761482397, 49.2648206897465], [-123.11476137536232, 49.26485746370347]"
Painted Lanes,2005.0,"[-123.12167241953355, 49.27630695822814], [-123.1232663750142, 49.27525168225234], [-123.12326640383532, 49.275251662432176]"
Painted Lanes,2009.0,"[-123.03379142156938, 49.25524817669264], [-123.03379445396206, 49.254786427910005]"
Painted Lanes,2009.0,"[-123.04961576008472, 49.250660518729475], [-123.04900910314417, 49.25065602818801], [-123.04900906328986, 49.25065602280777], [-123.04891530805116, 49.250657174350465]"
Painted Lanes,2009.0,"[-123.05022249540902, 49.25066089523379], [-123.05022245556005, 49.250660895251116], [-123.04961576008472, 49.250660518729475]"
Painted Lanes,2009.0,"[-123.12089607422804, 49.23370589435878], [-123.12135044652868, 49.23372134945002]"
Protected Bike Lanes,2003.0,"[-123.10409544468165, 49.277709028533486], [-123.1042068458084, 49.27773291647767], [-123.1044678153681, 49.27778310963004], [-123.10508389628858, 49.27787873109347], [-123.1061474701193, 49.27805537425138]"
Painted Lanes,2003.0,"[-123.11597602080212, 49.274861808685976], [-123.11609665785342, 49.27477417694411]"
Protected Bike Lanes,2014.0,"[-123.11711072835986, 49.21014494711021], [-123.1171342709086, 49.209548705483634], [-123.11718174140881, 49.20877793804688]"
Protected Bike Lanes,2003.0,"[-123.06589643445255, 49.262191632506195], [-123.06591261720204, 49.261340477855384]"
Protected Bike Lanes,2014.0,"[-123.16622884818752, 49.27221088110221], [-123.16517711110876, 49.272629338282506], [-123.16514925046651, 49.27264148204138], [-123.1644467915299, 49.272947665698254], [-123.16434567769095, 49.27316855882633]"
Painted Lanes,1997.0,"[-123.19808271755893, 49.23525415133726], [-123.19840070791359, 49.23534043955748]"
Painted Lanes,1997.0,"[-123.19618635001376, 49.23458419591138], [-123.19671115789845, 49.23477150222461]"
Painted Lanes,1997.0,"[-123.190968463395, 49.232700867815176], [-123.1923600643979, 49.23320358880349]"
Painted Lanes,1997.0,"[-123.18543419769519, 49.23064673998014], [-123.18617983265749, 49.23092567112197]"
Protected Bike Lanes,2016.0,"[-123.11716072317932, 49.27547463587185], [-123.11813081113384, 49.2761045805156]"
Protected Bike Lanes,2005.0,"[-123.12338294864017, 49.28158057621614], [-123.12338297746716, 49.281580557295484], [-123.12497424357247, 49.28052804024762]"
Protected Bike Lanes,2005.0,"[-123.11837434562244, 49.284894034487934], [-123.11892519596245, 49.28452967707576]"
Protected Bike Lanes,1993.0,"[-123.02830641662715, 49.28918419269004], [-123.0283060882144, 49.289323952428425]"
Protected Bike Lanes,1993.0,"[-123.0283047903633, 49.289872185455124], [-123.02830287820589, 49.29068783124454]"
Protected Bike Lanes,1994.0,"[-123.13679574724635, 49.29485872469093], [-123.13679568958969, 49.294858763438384], [-123.13671629694126, 49.29491087549559], [-123.1365850037404, 49.29499705055141], [-123.13655251408862, 49.29501244368295], [-123.13637349237155, 49.295097263545344], [-123.13620118493981, 49.295160297937905], [-123.13599607724586, 49.295209086367194], [-123.13594809746576, 49.29521671944339], [-123.13586437852962, 49.295230030889776]"
Protected Bike Lanes,2014.0,"[-123.03490306842554, 49.281267476249376], [-123.03488899055006, 49.281519276169256]"
Protected Bike Lanes,2014.0,"[-123.03488899055006, 49.281519276169256], [-123.03488869725712, 49.281524518646336], [-123.03493967222275, 49.28158638285799], [-123.03492624714033, 49.283180972306546], [-123.03478813192392, 49.28336665185616], [-123.03459177049929, 49.28349998958403], [-123.03434444484289, 49.283590502624065], [-123.03408255195266, 49.28366197934906], [-123.03389359412998, 49.283780439282495], [-123.03374071851962, 49.28387627810948], [-123.03354436839088, 49.28403341346805]"
Protected Bike Lanes,2014.0,"[-123.03430844964302, 49.28414742781744], [-123.03782088313697, 49.284622693368505]"
Protected Bike Lanes,2009.0,"[-123.07742291314143, 49.26626599892514], [-123.07742747360875, 49.266042719690276], [-123.07742746944433, 49.26604269360698]"
Painted Lanes,2003.0,"[-123.1236924972042, 49.27343969816069], [-123.12294266066971, 49.273630211506166]"
Painted Lanes,2006.0,"[-123.1170234650431, 49.28712281368225], [-123.11782870533737, 49.28658844598909]"
Painted Lanes,2006.0,"[-123.11830980841879, 49.286270892636544], [-123.11939485407798, 49.28555403261468], [-123.11939490898949, 49.28555399477821]"
Painted Lanes,2009.0,"[-123.1129700778221, 49.26129991192409], [-123.11298744332373, 49.26083935816911]"
Painted Lanes,2006.0,"[-123.11447148088652, 49.245175532143506], [-123.11556067042729, 49.24518900208343]"
Painted Lanes,2020.0,"[-123.2153431142699, 49.26028855300766], [-123.21533339100466, 49.260557467880744], [-123.21532676896986, 49.260740623753605]"
Painted Lanes,2020.0,"[-123.21514878471153, 49.26568256409453], [-123.2151323583832, 49.26611709478025]"
Painted Lanes,2008.0,"[-123.11704087427069, 49.21185620968721], [-123.11704088377356, 49.211856163801606], [-123.11706093143542, 49.21140727952509]"
Painted Lanes,2009.0,"[-123.1350473724043, 49.29261786760241], [-123.13594498112893, 49.29319887314497], [-123.13594501006176, 49.2931988920008]"
Painted Lanes,2006.0,"[-123.12632815436014, 49.2809676691394], [-123.12652408517071, 49.280838069900966], [-123.12652414423319, 49.2808380464488]"
Protected Bike Lanes,1984.0,"[-123.1560617659254, 49.308388233642965], [-123.15608158184706, 49.30850893513346], [-123.15604732483497, 49.30858110711213], [-123.15591644464466, 49.30862634040753], [-123.15570948975864, 49.308613039470124], [-123.15536567727334, 49.30851169791276], [-123.15518543029644, 49.308513919019525], [-123.15501531242607, 49.30856298103495], [-123.155015063869, 49.30856312349155], [-123.15484047989624, 49.30866304435334], [-123.1548404236021, 49.308663079509806], [-123.15462153890323, 49.30881163133059], [-123.15442289234178, 49.30898564971101], [-123.15442277444043, 49.30898578119758], [-123.15424620269346, 49.30918355831012], [-123.15417707200766, 49.30931441376387], [-123.15406471992452, 49.30940881374012], [-123.15366939417795, 49.30963273339106], [-123.15361780209716, 49.309665802437365], [-123.15351417425047, 49.309732226195415], [-123.15331439822188, 49.309803627627446], [-123.15305175789791, 49.30987628674789], [-123.15303511596245, 49.30988089090838], [-123.15300301529149, 49.30989322976213], [-123.15287009160771, 49.30994432443053], [-123.15270901742598, 49.31000623951482], [-123.15251473579623, 49.31016783552046], [-123.15242663237245, 49.310328392589156], [-123.15240842125365, 49.31049290434739], [-123.1524511846874, 49.31089565817487], [-123.15239517849757, 49.31124008556571], [-123.15211092065906, 49.31136043084701], [-123.15173615141124, 49.31167362042573], [-123.15136486498957, 49.311903256516686], [-123.15094409083828, 49.31208906879857], [-123.15060785013485, 49.312206150944675], [-123.15026045682858, 49.312387008603636], [-123.15006413131869, 49.31250740806937], [-123.15004825088715, 49.31251714702872], [-123.1498498217269, 49.312589351144425], [-123.14983832458753, 49.31259137286495], [-123.14962724101052, 49.312628490401856], [-123.14935528855436, 49.3126230870874], [-123.14911359075913, 49.31264327392968], [-123.14849402775506, 49.31278715540484], [-123.14801341169006, 49.312847307110175], [-123.14725479837696, 49.313044330460826], [-123.14696391985241, 49.31308445109872], [-123.14664008152413, 49.31310473718845], [-123.1463617240195, 49.31312082882077], [-123.14588370037632, 49.313215683287815], [-123.1457500050644, 49.31329056012717], [-123.14572082895646, 49.313306900591826], [-123.14564896626804, 49.31336724595832], [-123.14550216577018, 49.313407271201164], [-123.14533897566615, 49.313428970402136], [-123.14517882367403, 49.31343581819455], [-123.14517211037827, 49.313436105476505], [-123.14501006956851, 49.31346319894769], [-123.14470020009551, 49.313539980271536], [-123.14433155997688, 49.3136313235287], [-123.14407291945459, 49.31367922058319], [-123.14405640248656, 49.313679279851286], [-123.1438041572172, 49.313680184971496], [-123.1435265585641, 49.31368565637418], [-123.14326486729662, 49.31373850182981], [-123.14282328401363, 49.31388150694211], [-123.14262489296573, 49.313934816008555], [-123.1424130013495, 49.31395656936724], [-123.14205316451796, 49.313959251102034], [-123.1419978481423, 49.31396793371497], [-123.1415679385176, 49.31403543705632], [-123.14151064909707, 49.31404175883239], [-123.14150634314622, 49.314041935911646], [-123.14144746303883, 49.31404435391905], [-123.14138288047307, 49.314034451048514], [-123.14132331395376, 49.31399315440547], [-123.14129352158929, 49.31394718254659], [-123.14128639342769, 49.31393618212258], [-123.14120327679963, 49.313634108526664], [-123.14119756613013, 49.31362080541058], [-123.14119344611107, 49.31360804005871], [-123.1411889843697, 49.313595095221515], [-123.14118406962926, 49.31358251074269], [-123.14117892950946, 49.313570016490246], [-123.14117356099914, 49.31355752161703], [-123.14116785291701, 49.313545118009124], [-123.14116180551784, 49.313532894717945], [-123.14115564469755, 49.31352094141884], [-123.14114902984865, 49.3135089877744], [-123.1411423029572, 49.31349730501978], [-123.14113523597828, 49.31348553272878], [-123.14112782881858, 49.313474119758396], [-123.14112030910263, 49.31346279777574], [-123.14111244920606, 49.31345183511361], [-123.14110424948215, 49.313440873765366], [-123.14109593771093, 49.31343018150771], [-123.14108717105562, 49.31341967060684], [-123.14107852022917, 49.31340924861567], [-123.1410691875022, 49.3133990073588], [-123.14106008307992, 49.31338921647849], [-123.1410504118118, 49.31337942538975], [-123.14104062849894, 49.31336990429083], [-123.14103061894642, 49.313360653321034], [-123.1410202687026, 49.31335158266866], [-123.14100991897611, 49.31334269191733], [-123.14099923070438, 49.31333425133458], [-123.14098842961741, 49.31332581088847], [-123.14098122989938, 49.31332053593199], [-123.14097740117144, 49.313317730523835], [-123.14096637487498, 49.31330992000946], [-123.14095478061422, 49.31330219923851], [-123.14094330183758, 49.313294928981556], [-123.1409315951882, 49.31328783890394], [-123.14091966392837, 49.31328110800467], [-123.1409076201121, 49.31327446809223], [-123.14089534893348, 49.3132681873614], [-123.14088308015995, 49.31326226643151], [-123.1408705835157, 49.31325652658018], [-123.14085808927359, 49.313251145630275], [-123.14084944637408, 49.313248302009114], [-123.1407711163545, 49.31322253014946], [-123.14069249620464, 49.31319679007278], [-123.14068071076476, 49.31319293201581]"
Protected Bike Lanes,2009.0,"[-123.04955414240042, 49.258386412340755], [-123.04702256270565, 49.25862804465154], [-123.04702247338578, 49.25862805638168]"
Protected Bike Lanes,2009.0,"[-123.044282248962, 49.25913761324406], [-123.04400834437504, 49.25912629577968], [-123.04018948312718, 49.259531580325685], [-123.03789870963605, 49.25984100709663], [-123.03769751808636, 49.25986887980817]"
Protected Bike Lanes,1994.0,"[-123.06707735902259, 49.20661762994583], [-123.06732203898798, 49.20680333036157], [-123.06745296175205, 49.20691749420637], [-123.0675620519136, 49.20699834311171], [-123.06757606697674, 49.2070269759267], [-123.06759651859286, 49.20705389586752], [-123.0676229528691, 49.2070784825213], [-123.06765473750622, 49.207100169550856], [-123.06769115792513, 49.20711846262944], [-123.06775858628998, 49.20713250972295], [-123.067827902767, 49.20714178816308], [-123.06783987819144, 49.20714253673481]"
Protected Bike Lanes,2011.0,"[-123.10459786749858, 49.27018919078825], [-123.104610881744, 49.27018941827845], [-123.10463357801825, 49.270189836693234]"
Painted Lanes,1997.0,"[-123.18617983265749, 49.23092567112197], [-123.18691116711446, 49.23118735867322]"
Painted Lanes,1997.0,"[-123.1787316674563, 49.23014811870591], [-123.1803359053844, 49.23014676879723]"
Painted Lanes,1997.0,"[-123.1662066986851, 49.225280284263135], [-123.16620675091927, 49.225280297680904], [-123.1662304345941, 49.22528503289392], [-123.16625664098133, 49.225290928459174], [-123.16626975176715, 49.22529388702297], [-123.16628824414283, 49.225297845308674], [-123.16630931212916, 49.22530235669051], [-123.16632500416436, 49.22530550133195], [-123.16634909052644, 49.225310313300184], [-123.16638909705487, 49.22531790076149], [-123.1664293187761, 49.22532494728325], [-123.16645288159573, 49.22532885326097], [-123.16646965878529, 49.22533163380976], [-123.16771424937014, 49.225529577993115], [-123.16772783716819, 49.225531810680124], [-123.16773974435887, 49.225533767852106], [-123.16776512795126, 49.225538317677994], [-123.16777860173151, 49.22554094721597], [-123.16779028615566, 49.22554322763644], [-123.16781533234024, 49.225548313159905], [-123.16781538731581, 49.225548324773875], [-123.16784026441043, 49.22555376675021], [-123.16786508476923, 49.22555948675744], [-123.16787898665505, 49.22556280649826], [-123.16788979312446, 49.22556538682748], [-123.16791427609064, 49.225571646131094], [-123.16792666744657, 49.225575028330134], [-123.16793853367426, 49.22557826646746], [-123.16796267925224, 49.22558506596743], [-123.16798659776094, 49.22559213385156], [-123.16801029060765, 49.22559948001276], [-123.16801034147838, 49.22559949613025], [-123.16803387477574, 49.22560717624314], [-123.16805722743808, 49.225615047313674], [-123.1680803572227, 49.22562320745193], [-123.16810325855694, 49.225631633278425], [-123.16812593556126, 49.22564032478729], [-123.16814838548908, 49.22564928198265], [-123.16817057120387, 49.22565848872722], [-123.16817062484596, 49.22565851203684], [-123.16819251597116, 49.225667920700076], [-123.16820000428032, 49.22567129831461], [-123.16821418035026, 49.22567769219866], [-123.16823561873706, 49.22568764392768], [-123.1682467518052, 49.22569296190764], [-123.16825682975822, 49.22569777588924], [-123.16827178012885, 49.22570528944886], [-123.16827770137202, 49.22570825825728], [-123.16829321659233, 49.22571628552063], [-123.16829831128842, 49.2257189218077], [-123.16829834843759, 49.22571894154316], [-123.16831865959306, 49.22572979172725], [-123.16832997198632, 49.22573614299424], [-123.16833863001098, 49.22574100491365], [-123.1683402179765, 49.22574190212641], [-123.16841032440765, 49.225779259837466]"
Protected Bike Lanes,2006.0,"[-123.11140378819503, 49.28436858650819], [-123.11190413928644, 49.28403762754554]"
Protected Bike Lanes,2003.0,"[-123.07804288757525, 49.211088060116865], [-123.07804757499179, 49.211227595440064], [-123.07868243390494, 49.21123537382881], [-123.0787134710689, 49.21127273889405], [-123.07872137274578, 49.211282251422205], [-123.07876194179605, 49.211331090662036], [-123.0789709788299, 49.211459554449846], [-123.07903913170544, 49.211521011307596]"
Protected Bike Lanes,2009.0,"[-123.03769751808636, 49.25986887980817], [-123.0374315087175, 49.25990573151612], [-123.03500291957107, 49.26022576066233], [-123.03488613409411, 49.2602473035292], [-123.03452788919589, 49.26031340629439], [-123.03451694162426, 49.26031632761129]"
Protected Bike Lanes,2009.0,"[-123.03451694162426, 49.26031632761129], [-123.03395160710355, 49.26046718376074], [-123.03395165072178, 49.26046865986167]"
Protected Bike Lanes,2003.0,"[-123.05913943374355, 49.259481074390244], [-123.05887632251961, 49.259375376511976], [-123.05821687947525, 49.25911047697362]"
Painted Lanes,2005.0,"[-123.14700874949783, 49.24198670709218], [-123.14701602174581, 49.24198683996283], [-123.14701610554845, 49.241986838956635], [-123.1472542441674, 49.24199105937119], [-123.14725428536708, 49.24199105392153]"
Protected Bike Lanes,2021.0,"[-123.11994299232629, 49.27935475167628], [-123.12042812016114, 49.27966867366639]"
Protected Bike Lanes,2005.0,"[-123.1281609593659, 49.27842010795007], [-123.12891653716791, 49.27792031266189], [-123.12975512824109, 49.27736556115735]"
Protected Bike Lanes,2005.0,"[-123.12497424357247, 49.28052804024762], [-123.1256320308311, 49.2800929766528]"
Painted Lanes,1997.0,"[-123.1952308181246, 49.2342431664633], [-123.19618635001376, 49.23458419591138]"
Painted Lanes,1997.0,"[-123.1923600643979, 49.23320358880349], [-123.19375046308627, 49.23371478653625]"
Painted Lanes,1997.0,"[-123.18972700250143, 49.232239108821595], [-123.190968463395, 49.232700867815176]"
Painted Lanes,1997.0,"[-123.18957428792967, 49.23218205073096], [-123.18972700250143, 49.232239108821595]"
Painted Lanes,1997.0,"[-123.18846009646629, 49.23176595399193], [-123.18957428792967, 49.23218205073096]"
Painted Lanes,1997.0,"[-123.17431624058, 49.22846700360318], [-123.17587092357216, 49.22906812144755]"
Protected Bike Lanes,2021.0,"[-123.12091363967993, 49.27998281807388], [-123.12142152941958, 49.280311320215]"
Painted Lanes,2020.0,"[-123.21524503237094, 49.26300121890393], [-123.21522868543343, 49.263453306516034]"
Painted Lanes,2020.0,"[-123.21526137530284, 49.26254922391205], [-123.21524503237094, 49.26300121890393]"
Painted Lanes,2020.0,"[-123.21529406405867, 49.261645147454956], [-123.21527772043623, 49.26209716861017]"
Painted Lanes,2020.0,"[-123.21537584793992, 49.259383135799474], [-123.2153659681174, 49.25965642178662]"
Painted Lanes,2020.0,"[-123.2153922071726, 49.25893067362148], [-123.21537584793992, 49.259383135799474]"
Protected Bike Lanes,1986.0,"[-123.03772674574824, 49.24068089885651], [-123.0366738503558, 49.240249109254655]"
Protected Bike Lanes,1986.0,"[-123.03416965730699, 49.239219279679716], [-123.03372746971027, 49.23903689255822], [-123.0337274353566, 49.23903687907537]"
Protected Bike Lanes,2008.0,"[-123.11731561215448, 49.243696048011635], [-123.11795229475503, 49.243352485063966], [-123.11796587125176, 49.24334482614885], [-123.11797404407369, 49.24333999905417], [-123.11797943588306, 49.243336802037575], [-123.11799256955885, 49.24332896816436], [-123.11800625772705, 49.24332032325231], [-123.11801922686736, 49.243312055973625], [-123.11801926116118, 49.24331203345051], [-123.11802332145218, 49.24330932713301], [-123.11803261896127, 49.24330312711133], [-123.11804573331767, 49.24329411217697], [-123.11805794705693, 49.24328537611432], [-123.11807000974497, 49.243276674386664], [-123.11807005226063, 49.243276642859875], [-123.11808237460951, 49.24326736427072], [-123.11809024064077, 49.24326122237751], [-123.11809402557435, 49.243258277065635], [-123.1180982751871, 49.2432548824162], [-123.11810612172461, 49.24324863349848], [-123.11811797407094, 49.24323873021693], [-123.11812085193034, 49.243236235593464], [-123.11812873270061, 49.243229365068196], [-123.1181352369511, 49.24322369951288], [-123.11813958591236, 49.24321991076889], [-123.11815009108733, 49.24321027332163], [-123.1181501267313, 49.243210240902314], [-123.11815726186676, 49.24320353754952]"
Protected Bike Lanes,2021.0,"[-123.1121923643485, 49.24893450067949], [-123.10999905215957, 49.24890460025454]"
Painted Lanes,2006.0,"[-123.12280898962061, 49.28329572510862], [-123.12333384747492, 49.28294848661086], [-123.12333386391433, 49.28294846230634]"
Painted Lanes,2006.0,"[-123.12111013740137, 49.28441951421229], [-123.12173905180862, 49.28400382588915]"
Painted Lanes,2001.0,"[-123.10438647815926, 49.280499291714776], [-123.10490809280593, 49.28059392085635], [-123.10492464101938, 49.28059692821144]"
Painted Lanes,2009.0,"[-123.10228592357036, 49.27660198711081], [-123.1025498691008, 49.2769256436944], [-123.10271180415835, 49.2770589380341], [-123.10282413623631, 49.27715140127661], [-123.10288290396167, 49.27719977544165], [-123.10288293287816, 49.27719979700437], [-123.10306632674005, 49.27731585225129], [-123.10320321565781, 49.27739093160969], [-123.10324356881304, 49.27741138659087], [-123.10326074581289, 49.27741979343291], [-123.10328444350311, 49.2774313913325], [-123.10330851193888, 49.27744276221709]"
Painted Lanes,2021.0,"[-123.05654264010202, 49.28298401378549], [-123.0565419573477, 49.28253117005555]"
Protected Bike Lanes,2021.0,"[-123.14427521387253, 49.28948241361066], [-123.14427524418417, 49.28948243336219], [-123.14557392831834, 49.2903393735118]"
Protected Bike Lanes,2021.0,"[-123.14289931275897, 49.28859115494203], [-123.14427521387253, 49.28948241361066]"
Protected Bike Lanes,2018.0,"[-123.13335929648339, 49.28178316457338], [-123.13339285048959, 49.2817609851103], [-123.13389097966716, 49.28143162980117]"
Protected Bike Lanes,2016.0,"[-123.14294177048191, 49.20856666401295], [-123.14335832850078, 49.208575546946385]"
Protected Bike Lanes,2018.0,"[-123.10115236861458, 49.25839385925781], [-123.10055256421434, 49.25838164650249]"
Painted Lanes,2003.0,"[-123.11516885378325, 49.27408845764559], [-123.11500143302916, 49.274123711034775], [-123.11462560748673, 49.27422249904677]"
Painted Lanes,2006.0,"[-123.11939490898949, 49.28555399477821], [-123.11957145780943, 49.28566852226023], [-123.11957553432832, 49.2856711257423], [-123.11959688878102, 49.285684576611466], [-123.11961857405036, 49.28569778426458], [-123.11963890026423, 49.28570965214055], [-123.1196406986604, 49.28571070451272], [-123.11966308532247, 49.28572337711799], [-123.11968579052322, 49.285735846997625], [-123.11969841183995, 49.285742449873354], [-123.11970895140644, 49.285747963789966], [-123.11973228781827, 49.28575987710488], [-123.11973233600472, 49.28575990134191], [-123.11975594526385, 49.28577148244747], [-123.11975599757768, 49.28577150757972], [-123.11978001610171, 49.28578287417109], [-123.11980430769489, 49.28579400030328], [-123.11982893119321, 49.285804765379744], [-123.1198537960703, 49.28581526394348], [-123.11987899306561, 49.28582548960362], [-123.11990441908098, 49.28583545595967], [-123.11993017717268, 49.2858451323209], [-123.1199560568358, 49.28585447033172], [-123.11998226719085, 49.28586351475081], [-123.12000869832733, 49.28587230527074], [-123.12001625060859, 49.28587470993217], [-123.12003537356013, 49.28588081668075], [-123.1200477211548, 49.28588451975915], [-123.12006226635842, 49.28588888259755], [-123.12008938561647, 49.285896768369284], [-123.12011662915002, 49.2859042977967], [-123.1201441869139, 49.285911550739165], [-123.12016919417047, 49.285917779978355], [-123.12017183042612, 49.28591843748241], [-123.12017187032745, 49.28591844733559], [-123.12019966562836, 49.28592498310262], [-123.12021376108962, 49.285928167122734], [-123.12022780151887, 49.28593133860515], [-123.1202559418209, 49.285937243438134], [-123.12028429872925, 49.28594287548509], [-123.12031276618505, 49.28594816199538], [-123.12031280883002, 49.28594816914711], [-123.12034145844635, 49.28595315502194], [-123.12037022687488, 49.28595780164793], [-123.12037028052491, 49.28595781058722], [-123.120399101735, 49.285962107238866], [-123.12100343245729, 49.28604951083671], [-123.12142733081045, 49.286089509363194]"
Painted Lanes,2006.0,"[-123.12758941631286, 49.28013319922121], [-123.127589471233, 49.28013316947648], [-123.12864704726914, 49.27943336719836]"
Painted Lanes,2009.0,"[-123.11298744332373, 49.26083935816911], [-123.11300550780514, 49.26036003068481]"
Protected Bike Lanes,2003.0,"[-123.12795693322617, 49.27405343241371], [-123.12843375634301, 49.27437265543036]"
Protected Bike Lanes,2003.0,"[-123.1286680221547, 49.274529475106334], [-123.12891059938514, 49.274691885436276]"
Protected Bike Lanes,2003.0,"[-123.1294420817826, 49.27504768966742], [-123.12989586412235, 49.275351492168326]"
Protected Bike Lanes,2009.0,"[-123.03375991846929, 49.260669986537046], [-123.03346273016936, 49.26067120638801], [-123.03339874803191, 49.26074362193683], [-123.03237125912813, 49.2610220795024], [-123.03224613425242, 49.26100880428232], [-123.03079870879618, 49.261374331752116], [-123.0307980107187, 49.26137452083754], [-123.02985824633974, 49.26168561579028], [-123.02867515702303, 49.262077259130116], [-123.02834416198493, 49.26218678907533], [-123.02791241862771, 49.26227422054312], [-123.02740022654176, 49.262377943628856], [-123.02695223909483, 49.262424099056446], [-123.02672191275865, 49.262447890003756], [-123.0266206517774, 49.26245834152077], [-123.02624826722341, 49.26245457047406], [-123.02552151713783, 49.26244718181548], [-123.02539918538999, 49.26244593954892], [-123.02507970582944, 49.2624426937056], [-123.02375250348581, 49.26242920790917], [-123.0237177885769, 49.26244729630346], [-123.02368395443271, 49.26246492575123]"
Protected Bike Lanes,2017.0,"[-123.15248051018649, 49.260994623072726], [-123.15248488847739, 49.2608914107232], [-123.15249256829426, 49.260514851079165]"
Protected Bike Lanes,2017.0,"[-123.15233833034692, 49.26473073613491], [-123.15234930199173, 49.264474612838335], [-123.15236321620527, 49.264076502594605], [-123.15237302019834, 49.263852815727475], [-123.15237402867392, 49.263819658060704]"
