Coordinates,School Type
"49.24121522106756, -123.10063141",Public School
"49.247228706067595, -123.10596494",Public School
"49.266193169067684, -123.0743697",Public School
"49.28261095988815, -123.05057740868249",Public School
"49.22104214306744, -123.08804322",Public School
"49.23616824506754, -123.17345921",Public School
"49.22530010406748, -123.04415722000002",Public School
"49.26173570306765, -123.06022338",Public School
"49.28678528206777, -123.13784476",Public School
"49.249691952067586, -123.06900705",Public School
"49.27981151466552, -123.09147679242075",Public School
"49.262518934067664, -123.14937705",Public School
"49.280723909067746, -123.06467911",StrongStart BC
"49.22940869906749, -123.15151486",Public School
"49.26396573206767, -123.09399954",Public School
"49.257791772067634, -123.20112784000001",Public School
"49.23342156632536, -123.12761225509908",Independent School
"49.28108362095662, -123.12511331828341",Independent School
"49.28108362095662, -123.12511331828341",Independent School
"49.23728903611385, -123.15343060436416",Public School
"49.24498305306758, -123.15953565",Public School
"49.261970549067655, -123.07592057",Public School
"49.23724621006754, -123.15157081",Public School
"49.20724201501598, -123.11860774594169",Independent School
"49.25717135541721, -123.10819689943345",Public School
"49.23453643506752, -123.08671432",StrongStart BC
"49.221596673067474, -123.0557042",Public School
"49.214830464067425, -123.07329351",Public School
"49.241944229212045, -123.08495018892324",Public School
"49.22574768906748, -123.07657409",Public School
"49.242891620676865, -123.0348073745407",Public School
"49.242891620676865, -123.0348073745407",StrongStart BC
"49.21776253406744, -123.12504721",Public School
"49.26646231107508, -123.09452064422761",Independent School
"49.2640409804403, -123.14789881614395",Independent School
"49.257469215545306, -123.06946327228026",Independent School
"49.23711627206752, -123.07309884",Public School
"49.2320557420675, -123.06800394",Public School
"49.27757064431133, -123.11344354347607",Independent School
"49.263648890401456, -123.03187058558184",StrongStart BC
"49.28626345506777, -123.05559853",StrongStart BC
"49.28626345506777, -123.05559853",Public School
"49.250178756067605, -123.16460607",Public School
"49.26329988232251, -123.14026052001878",Public School
"49.23195715006752, -123.09279776",Public School
"49.2475796718668, -123.12682202118758",Independent School
"49.284984466234356, -123.04453612333309",Independent School
"49.26706634514379, -123.20150739365414",Independent School
