ZONE_NUMBER,ZONE_NAME,METER_ID,METER_STATION,METER_TYPE,METER_MODEL,OPERATION_HOURS,OPERATION_DAYS,HOURLY_RATE,DAILY_RATE,MAXIMUM_HOURS,MONTHLY_UNRESERVED_RATE,MONTHLY_RESERVED_RATE,PAY_BY_PHONE,OWNER,ON_OFF_STREET,ZONE_TYPE,NUMBER_SPACES,ADDRESS,PAYMENT_METHODS,COMMENTS,Latitude,Longitude
,Ocean Park Library #1,EV008,AAB-11760,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,12854 17 Ave,Credit Card via App,,49.032636,-122.866407
23,133/133A Street On-Street,#068,520014451702,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,$1.00,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,10297 133A St,Credit Card/PayByPhone,,49.189319,-122.852180
8,Innovation Boulevard On-Street,#041,14767,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,$1.25,5,All Day,,,4309,Surrey,On,On-Street Parking,76,9666 King George Blvd,Cash/Credit Card/PayByPhone,,49.178773,-122.844177
,Surrey City Hall - P2 Employee #7,EV040,AAB-12024,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,,,,,,,,Off,Employee,1,13450 104 Ave,,,49.190913,-122.848922
15,City Hall Parkade,#220,520014230462,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,24 Hours,7 Days/Week,$1.50,,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Cash/Credit Card/PayByPhone,,49.190891,-122.848731
,Surrey City Hall - P2 [Fleet - Inspectors],EV031,SOS01121700131,EV Charging Station - Level 2,AeroVironment EVSE-RSW32B25CXXW,24 Hours,7 Days/Week,,,,,,,,Off,Fleet,1,13450 104 Ave,,,49.191375,-122.848727
,Surrey City Hall - P2 [Fleet - MODO] - EV4,EV015,123120000088,EV Charging Station - Level 2,Siemens 8EM1111-1DA11-0AA0,24 Hours,7 Days/Week,,,,,,,,Off,Fleet,1,13450 104 Ave,,,49.191375,-122.848727
,Clayton Community Centre #2,,,EV Charging Station - Future,,,,,,,,,,,,,,18680 72 Ave,,,49.132324,-122.703796
22,Green Timbers - Lot 1,,0,,,24 Hours,7 Days/Week,,,,$85.00,,0,Surrey,Off,Surface Gravel Off-Street,26,9800 140 St,Credit Card/PAP/Invoice,Monthly Parking Only,49.178363,-122.828198
,Hemlock Works Yard #2,EV033,AAB-11805,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"[Free 7:30am-4:00pm, Mon-Fri] $0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,9353 160 St,Credit Card via App,,49.172371,-122.779354
,Fraser Heights Rec Ctr DC1,,202302005614,EV Charging Station - Level 3 / DCFC,ChargePoint CPE250C-500-CCS1-CHD,24 Hours,7 Days/Week,"$0.20/min for the 1st hour, $0.40/min each additional hour",,,,,,,Off,Public,1,10588 160 Street,Credit Card via App,,49.195249,-122.777502
,South Surrey Operations Centre,EV042,183441017396,EV Charging Station - Level 2,ChargePoint CT4021-GW2,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,2336 166 Street,Credit Card via App,,49.044363,-122.762607
,North Surrey Sport & Ice Complex,,AAB-14408 / AAB-14418,EV Charging Station - Level 2,,,,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,,2,10950 126A Street,Credit Card via App,,49.201208,-122.871571
23,133/133A Street On-Street,#067,520014451701,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,$1.00,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,13321 102A Ave,Credit Card/PayByPhone,,49.188924,-122.853150
24,105/105A Avenue On-Street,#071,520014451705,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,$1.00,$3.00,All Day,,,4318,Surrey,On,On-Street Parking,111,10519 134A St,Cash/Credit Card/PayByPhone,,49.193663,-122.849601
24,105/105A Avenue On-Street,#073,520014451706,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,$1.00,$3.00,All Day,,,4318,Surrey,On,On-Street Parking,111,10492 134A St,Cash/Credit Card/PayByPhone,,49.193213,-122.849063
4,Gateway South On-Street,#014,14516,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,$1.00,4,All Day,,,4303,Surrey,On,On-Street Parking,62,13456 108 Ave,Cash/Credit Card/PayByPhone,,49.198468,-122.848908
,Surrey City Hall - P2 Employee #3,EV036,AAB-12170,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,,,,,,,,Off,Employee,1,13450 104 Ave,,,49.190913,-122.848922
,Surrey City Hall - P2 [Fleet - Inspectors],EV029,HC1C160439726,EV Charging Station - Level 2,Sun Country Highway HCS-40,24 Hours,7 Days/Week,,,,,,,,Off,Fleet,1,13450 104 Ave,,,49.191375,-122.848727
,Surrey City Hall - P2 [Fleet - Inspectors],EV028,HC1C160439727,EV Charging Station - Level 2,Sun Country Highway HCS-40,24 Hours,7 Days/Week,,,,,,,,Off,Fleet,1,13450 104 Ave,,,49.191375,-122.848727
,Don Christian Rec Ctr #1,,,EV Charging Station - Future,,,,,,,,,,,Off,,2,6220 184 Street,,"Conduit only, in-ground for 4 ports: Per Facilities, tying into Bldg. will req. service upgrade ($100k+)",49.115849,-122.711476
2,City Parkway On-Street,#010,14512,Paystation,SIEMENS SITRAFFIC PRISMA,24 Hours,7 Days/Week,$1.00,$5.00,2,,,4302,Surrey,On,On-Street Parking,15,10388 City Parkway,Cash/Credit Card/PayByPhone,,49.190703,-122.847543
26,Guildford Centre On-Street,#028,14754,Paystation,SIEMENS SITRAFFIC PRISMA,24 Hours,7 Days/Week,$1.75,,,,,4358,Surrey,On,On-Street Parking,61,15350 105 Avenue,Cash/Credit Card/PayByPhone,,49.193249,-122.797120
6,8 Avenue/Marine Drive On-Street,#021,14523,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,$1.50,,6,,,4294,Surrey,On,On-Street Parking,53,15638 8 Ave,Cash/Credit Card/PayByPhone,,49.016508,-122.788089
6,8 Avenue/Marine Drive On-Street,#023,14525,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,$1.50,,6,,,4294,Surrey,On,On-Street Parking,53,15638 8 Ave,Cash/Credit Card/PayByPhone,,49.016506,-122.783588
,Fraser Heights Rec Ctr #4,,,EV Charging Station - Future,,,,,,,,,,,Off,,2,10588 160 Street,,,49.195247,-122.777785
,Fraser Heights Rec Ctr #5,,,EV Charging Station - Future,,,,,,,,,,,Off,,2,10588 160 Street,,,49.195356,-122.777728
12,Scott Road SkyTrain On-Street,083,600600503,Paystation,MacKay Tango,8:00 AM to 6:00 PM,7 Days/Week,$1.00,$3.00,All Day,,,4315,Surrey,On,On-Street Parking,86,12515 110 Ave,Credit Card/PayByPhone,,49.202701,-122.872867
,North Surrey Sport & Ice Complex #2,,,EV Charging Station - Future,,,,,,,,,,,,,,10950 126A St,,,49.201294,-122.871582
23,133/133A Street On-Street,#069,520014451703,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,$1.00,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,10364 133A St,Credit Card/PayByPhone,,49.190641,-122.851940
,Surrey Arts Centre at Bear Creek Park #1,EV002,AAB-12433,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,13750 88 Ave,Credit Card via App,,49.162539,-122.842774
,Surrey City Hall - P2 Employee #2,EV035,AAB-12017,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,,,,,,,,Off,Employee,1,13450 104 Ave,,,49.190913,-122.848922
15,City Hall Parkade,#216,520014230465,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,Outside of City Hall/Library Hours,7 Days/Week,$1.50,,All Day,,$130.00,4295,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Cash/Credit Card/PayByPhone,,49.190891,-122.848731
,Surrey City Hall - P2 [Fleet - MODO] - EV3,EV014,123020000056,EV Charging Station - Level 2,Siemens 8EM1111-1DA11-0AA0,24 Hours,7 Days/Week,,,,,,,,Off,Fleet,1,13450 104 Ave,,,49.191375,-122.848727
,The Glades #2,,AAB-13787,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,457 172 St,Credit Card via App,Location open seasonally (Spring-Fall),49.010452,-122.747383
,Cloverdale Town Centre DCFC [BC Hydro],53022,BC1-00259 / BC1-00292,EV Charging Station - Level 3 / DCFC,,24 Hours,7 Days/Week,$0.21 per minute,,,,,,,Off,Public,2,5761 176A Street,Credit Card via App,Stations provided and managed by BC Hydro,49.107073,-122.734345
,Museum of Surrey,,(L) AAB-18419 / (R) AAB-18416,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,17710 56A Ave,Credit Card via App,,49.104919,-122.731323
1,Gateway North On-Street,#002,14504,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,$1.25,5,All Day,,,4317,Surrey,On,On-Street Parking,222,13468 Gateway Dr,Cash/Credit Card/PayByPhone,,49.201032,-122.849818
,Surrey Operations Centre - Staff Parking #3,EV024,AAB-12172,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,,,,,,,,Off,Employee,1,6651 148 Street,,,49.122700,-122.813089
,Surrey Operations Centre - Staff Parking #5,EV026,AAB-12180,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,,,,,,,,Off,Employee,1,6651 148 Street,,,49.122700,-122.813007
,Surrey Operations Centre - Visitors #1,EV018,AAB-12169,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"[Free 7:30am-4:00pm, Mon-Fri] $0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,6651 148 Street,Credit Card via App,,49.123620,-122.812779
,Surrey Nature Centre #1,,203041023356,EV Charging Station - Level 2,ChargePoint CT4020-HD-GW,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,14225 Green Timbers Way,Credit Card via App,,49.178875,-122.829395
,Guildford Recreation Centre & Library,EV011,183441017394,EV Charging Station - Level 2,ChargePoint CT4021-GW2,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,15288 105 Ave,Credit Card via App,,49.193326,-122.803908
26,Guildford Centre On-Street,#027,14750,Paystation,SIEMENS SITRAFFIC PRISMA,24 Hours,7 Days/Week,$1.75,,,,,4358,Surrey,On,On-Street Parking,61,10428 153 Street,Cash/Credit Card/PayByPhone,,49.192911,-122.798043
,Fraser Heights Rec Ctr #7,,,EV Charging Station - Future,,,,,,,,,,,Off,,2,10588 160 Street,,,49.195358,-122.777552
,Fraser Heights Rec Ctr #8,,,EV Charging Station - Future,,,,,,,,,,,Off,,2,10588 160 Street,,,49.195361,-122.777469
12,Scott Road SkyTrain On-Street,#082,600600505,Paystation,MacKay Tango,8:00 AM to 6:00 PM,7 Days/Week,$1.00,$3.00,All Day,,,4315,Surrey,On,On-Street Parking,86,12515 110 Ave,Credit Card/PayByPhone,,49.202700,-122.874817
23,133/133A Street On-Street,#064,520014451698,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,$1.00,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,10388 133 St,Credit Card/PayByPhone,,49.190964,-122.854144
1,Gateway North On-Street,#075,520015220780,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,,7 Days/Week,$1.25,5,All Day,,,4317,Surrey,On,On-Street Parking,222,10899 University Dr,Credit Card/PayByPhone,,49.199648,-122.851009
7,Newton Town Centre On-Street,#036,14762,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 4:30 PM,Mon - Fri,$1.00,2,All Day,,,4355,Surrey,On,On-Street Parking,107,13725 72A Ave,Cash/Credit Card/PayByPhone,,49.134856,-122.841370
7,Newton Town Centre On-Street,#037,14763,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 4:30 PM,Mon - Fri,$1.00,2,All Day,,,4355,Surrey,On,On-Street Parking,107,13725 72A Ave,Cash/Credit Card/PayByPhone,,49.134786,-122.840232
19,SFU South,#203,500013271026,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,24 Hours,7 Days/Week,$0.75,$5.00,All Day,$100.00,,5015,Surrey,Off,Surface Paved Off-Street,45,10290 University Dr10290 University Dr10290 University Drive,Credit Card/PayByPhone,,49.188455,-122.850472
24,105/105A Avenue On-Street,#074,520014451707,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,$1.00,$3.00,All Day,,,4318,Surrey,On,On-Street Parking,111,13430 105 Avenue,Cash/Credit Card/PayByPhone,,49.193066,-122.850180
11,102 Avenue On-Street,#044,14770,Paystation,SIEMENS SITRAFFIC PRISMA,24 Hours,7 Days/Week,1.5,7,All Day,,,4314,Surrey,On,On-Street Parking,2,13450 102 Ave,Cash/Credit Card/PayByPhone,,49.188202,-122.849436
15,City Hall Parkade,#214,500013501589,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,24 Hours,7 Days/Week,$1.50,,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Cash/Credit Card/PayByPhone,,49.190891,-122.848731
15,City Hall Parkade,#223,520014230460,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,24 Hours,7 Days/Week,$1.50,,All Day,,$130.00,5009,Surrey,Off,Below Ground Multi-Level Parkade,834,13450 104 Ave,Credit Card/PayByPhone,,49.190891,-122.848731
,Surrey City Hall - P2 [Fleet - MODO] - EV1,EV012,123120000061,EV Charging Station - Level 2,Siemens 8EM1111-1DA11-0AA0,24 Hours,7 Days/Week,,,,,,,,Off,Fleet,1,13450 104 Ave,,,49.191375,-122.848727
,Surrey City Hall - P2 [Fleet - MODO] - EV5,EV016,SOS01121700156,EV Charging Station - Level 2,AeroVironment EVSE-RSW32B25CXXW,24 Hours,7 Days/Week,,,,,,,,Off,Fleet,1,13450 104 Ave,,,49.191375,-122.848727
,Surrey City Hall - P2 [Fleet - MODO] - EV2,EV013,123120000067,EV Charging Station - Level 2,Siemens 8EM1111-1DA11-0AA0,24 Hours,7 Days/Week,,,,,,,,Off,Fleet,1,13450 104 Ave,,,49.191375,-122.848727
,The Glades #1,,AAB-13783,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,457 172 St,Credit Card via App,Location open seasonally (Spring-Fall),49.010452,-122.747382
,Clayton Community Centre,,201841013396,EV Charging Station - Level 2,ChargePoint CT4025-GW,6:00 AM to 9:00 PM,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,2,7155 187A Street,Credit Card via App,"Access to Charging Station 6:00 am to 9:00 pm, gates are closed after-hours",49.132319,-122.703864
2,City Parkway On-Street,#080,,Paystation,SIEMENS SITRAFFIC PRISMA,24 Hours,7 Days/Week,1,5,,,,4302,Surrey,On,On-Street Parking,15,10363 City Parkway,Cash/Credit Card/PayByPhone,,49.190599,-122.847743
1,Gateway North On-Street,#009,14511,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 6:00 PM,7 Days/Week,$1.25,5,All Day,,,4317,Surrey,On,On-Street Parking,222,13401 108 Ave,Cash/Credit Card/PayByPhone,,49.199027,-122.849669
,South Surrey Recreation Centre 2,EV005,AAB-10632 ,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,14600 20 Ave,Credit Card via App,,49.040363,-122.817880
,Surrey Operations Centre - Staff Parking #2,EV023,AAB-12174,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,,,,,,,,Off,Employee,1,6651 148 Street,,,49.122695,-122.813164
,Surrey Operations Centre - Staff Parking #6,EV027,AAB-12173,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,,,,,,,,Off,Employee,1,6651 148 Street,,,49.122700,-122.813007
,Surrey Operations Centre - Visitors #3,EV020,AAB-12102,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"[Free 7:30am-4:00pm, Mon-Fri] $0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,6651 148 Street,Credit Card via App,,49.123669,-122.812783
,Surrey Operations Centre - Visitors #4,EV021,AAB-12131,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"[Free 7:30am-4:00pm, Mon-Fri] $0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,6651 148 Street,Credit Card via App,,49.123669,-122.812783
26,Guildford Centre On-Street,#029,14755,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 5:00 PM,Mon - Fri,$1.75,,,,,4359,Surrey,On,On-Street Parking,61,15353 105 Avenue,Cash/Credit Card/PayByPhone,,49.193419,-122.796053
6,8 Avenue/Marine Drive On-Street,#020,14522,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,$1.50,,6,,,4294,Surrey,On,On-Street Parking,53,15638 8 Ave,Cash/Credit Card/PayByPhone,,49.016517,-122.789434
6,8 Avenue/Marine Drive On-Street,#022,14524,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 11:00 PM,7 Days/Week,$1.50,,6,,,4294,Surrey,On,On-Street Parking,53,15638 8 Ave,Cash/Credit Card/PayByPhone,,49.016507,-122.786942
,Hemlock Works Yard #1,EV032,AAB-11804 ,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"[Free 7:30am-4:00pm, Mon-Fri] $0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,9353 160 St,Credit Card via App,,49.172371,-122.779354
,Fraser Heights Rec Ctr #6,,,EV Charging Station - Future,,,,,,,,,,,Off,,2,10588 160 Street,,,49.195356,-122.777643
12,Scott Road SkyTrain On-Street,#085,600602096,Paystation,MacKay Tango,8:00 AM to 6:00 PM,7 Days/Week,$1.00,$3.00,All Day,,,4315,Surrey,On,On-Street Parking,86,10950 126A St,Credit Card/PayByPhone,,49.201880,-122.872119
23,133/133A Street On-Street,#066,520014451700,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,Mon - Fri,$1.00,$4.00,All Day,,,4316,Surrey,On,On-Street Parking,128,10290 133 St,Credit Card/PayByPhone,,49.189616,-122.854178
4,Gateway South On-Street,#077,520015220782,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,$1.00,,2,,,4297,Surrey,On,On-Street Parking,50,13380 108 Ave,Credit Card/PayByPhone,,49.198593,-122.851014
1,Gateway North On-Street,#058,500013501585,Paystation,DIGITAL PAYMENT TECHNOLOGIES LUKE II,8:00 AM to 6:00 PM,7 Days/Week,$1.25,5,All Day,,,4317,Surrey,On,On-Street Parking,222,13433 Gateway Dr,Credit Card/PayByPhone,,49.200693,-122.851779
,Newton Library and Senior's Centre,EV010,183241015897,EV Charging Station - Level 2,ChargePoint CT4021-GW2,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,2,,,,,Off,Public,2,13775 - 70 Ave,Credit Card via App,,49.130675,-122.840777
7,Newton Town Centre On-Street,#038,14764,Paystation,SIEMENS SITRAFFIC PRISMA,8:00 AM to 4:30 PM,Mon - Fri,$1.00,2,All Day,,,4355,Surrey,On,On-Street Parking,107,13791 72 Ave,Cash/Credit Card/PayByPhone,,49.134543,-122.839256
,Surrey Arts Centre at Bear Creek Park #2,EV003,AAB-12434,EV Charging Station - Level 2,AddEnergie CoRe+,24 Hours,7 Days/Week,"$0.03/min for the 1st hour, $0.08/min each additional hour",,,,,,,Off,Public,1,13750 88 Ave,Credit Card via App,,49.162539,-122.842774
8,Innovation Boulevard On-Street,#040,14766,Paystation,SIEMENS SITRAFFIC PRISMA,6:00 AM to 8:00 PM,7 Days/Week,$1.25,5,All Day,,,4309,Surrey,On,On-Street Parking,76,9711 137 St,Cash/Credit Card/PayByPhone,,49.179199,-122.843456
